taxonomy,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F1_1P,F1_1,F1_2P,F1_2,F1_3P,F1_3,F1_4P,F1_4,F1_5P,F1_5,F1_6P,F1_6,F1_7P,F1_7,F1_8P,F1_8,F2_1P,F2_1,F2_2P,F2_2,F2_3P,F2_3,F2_4P,F2_4,F2_5P,F2_5,F2_6P,F2_6,F2_7P,F2_7,F2_8P,F2_8,ILMAH01,ILMAH02,ILMAH04,ILMAH05,ILMAH06,ILMAH07,ILMAH08,ILMAH21,ILMAH22,ILMAH23,ILMAH24,ILMAH25,ILMAH26,ILMAH27,ILMAH28,ILMAH31,ILMAH32,ILMAH33,ILMAH34,ILMAH35,ILMAH36,ILMAH37,ILMAH38,ILMAH41,ILMAH42,ILMAH43,ILMAH44,ILMAH45,ILMAH46,ILMAH47,ILMAH48,OR.CKP.01.1.A0.S.ITS,OR.CKP.01.1.A0.W.ITS,OR.CKP.02.1.A0.W.ITS,OR.CKP.03.1.A0.S.ITS,OR.CKP.03.1.A0.W.ITS,OR.CKP.04.1.A0.W.ITS,OR.CKP.05.1.A0.S.ITS,OR.CKP.05.1.A0.W.ITS,OR.CKP.06.1.A0.S.ITS,OR.CKP.06.1.A0.W.ITS,OR.CKP.08.1.A0.S.ITS,OR.CKP.08.1.A0.W.ITS,OR.CKP.09.1.A0.S.ITS,OR.CKP.10.1.A0.S.ITS,OR.CKP.10.1.A0.W.ITS,OR.CKP.11.1.A0.S.ITS,OR.CKP.11.1.A0.W.ITS,OR.CKP.12.1.A0.S.ITS,OR.CKP.13.1.A0.S.ITS,OR.CKP.13.1.A0.W.ITS,OR.CKP.14.1.A0.S.ITS,OR.CKP.14.1.A0.W.ITS,OR.CKP.15.1.A0.S.ITS,OR.CKP.16.1.A0.S.ITS,OR.GCKP.17.1.A1.S.ITS,ORX.Fairing.CK.S.ITS,ORX.Faring.Blank.S.ITS,ORX.Kit.Blank.S.ITS,ORX.Swab.Blank.S.ITS,Positivecontrol.ITS.zymo
k__Fungi,214,278,356,4,198,140,270,42,1046,60,2152,1708,1130,1730,2386,1970,2166,2316,2536,2668,2520,2706,2000,2024,3130,2178,2084,2414,2856,2682,570,88,394,196,8,304,238,840,58,68,2712,1142,2270,2252,1706,2702,3068,2110,3080,2800,990,906,1002,1602,1648,840,1448,5342,566,764,1296,824,920,426,658,782,592,790,1576,578,956,1342,2674,1326,4910,10002,8418,6504,1112,2532,562,706,2922,4574,376,1752,6732,2940,1592,3352,232,368,203772,281790,1198,1354,1874,3184,90,350,74538,102558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0
k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__GS16;f__unidentified;g__unidentified;s__unidentified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota,47,43,42,0,42,8,27,6,77,6,253,239,145,173,266,294,326,257,337,368,337,369,217,332,349,206,309,307,311,352,58,10,57,29,15,34,17,56,4,0,326,129,166,229,177,276,299,229,350,263,118,105,94,210,217,102,192,263,37,92,175,93,105,60,73,74,37,79,182,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,281,66520,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__unidentified,10,25,21,0,3,16,29,0,65,0,52,26,96,95,74,103,85,61,82,60,100,101,108,161,59,108,112,88,29,39,41,18,25,17,0,0,14,26,17,9,25,26,46,18,93,102,45,24,90,28,30,38,29,43,14,61,100,1437,58,13,77,35,37,19,15,17,20,22,46,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__GS31;f__unidentified;g__unidentified;s__unidentified,24,15,25,0,11,8,22,9,37,0,91,87,78,74,62,97,105,81,81,80,88,87,85,97,80,66,102,90,99,81,18,0,15,14,0,15,10,21,7,5,58,70,57,54,95,105,118,50,143,55,47,24,49,55,45,33,68,0,21,19,64,41,27,26,12,25,29,44,62,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Arthoniales;f__Arthoniales_family_Incertae_sedis;g__Arthothelium;s__Arthothelium_spectabile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Chaetosphaeronema;s__Chaetosphaeronema_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Chalara;s__Chalara_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Knufia;s__Knufia_cryptophialidica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Minimidochium;s__Minimidochium_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
