sampleID	group
F01	LP
F02	LP
F03	LP
F04	LP
F05	LP
F06	LP
F07	LP
F08	LP
F09	LP
F10	LP
F11	LP
F12	LP
F13	LP
F14	LP
F15	LP
F16	LP
F17	LP
F18	LP
F19	LP
F20	LP
F21	LP
F22	LP
F23	LP
F24	LP
F25	LP
F26	LP
F27	LP
F28	LP
F29	LP
F30	LP
F31	LP
F32	LP
F33	LP
F34	LP
F35	LP
F36	LP
F37	LP
F38	LP
F39	LP
F40	LP
F41	LP
F42	LP
F43	LP
F44	LP
F45	LP
F46	LP
F47	LP
F48	LP
F49	LP
F50	LP
F51	LP
F52	LP
F53	LP
F54	LP
F55	LP
F56	LP
F57	LP
F58	LP
F59	LP
F60	LP
F61	LP
F62	LP
F63	LP
F64	LP
F65	LP
F66	LP
F67	LP
F68	LP
F69	LP
F70	LP
F1_1P	ISS
F1_1	ISS
F1_2P	ISS
F1_2	ISS
F1_3P	ISS
F1_3	ISS
F1_4P	ISS
F1_4	ISS
F1_5P	ISS
F1_5	ISS
F1_6P	ISS
F1_6	ISS
F1_7P	ISS
F1_7	ISS
F1_8P	ISS
F1_8	ISS
F2_1P	ISS
F2_1	ISS
F2_2P	ISS
F2_2	ISS
F2_3P	ISS
F2_3	ISS
F2_4P	ISS
F2_4	ISS
F2_5P	ISS
F2_5	ISS
F2_6P	ISS
F2_6	ISS
F2_7P	ISS
F2_7	ISS
F2_8P	ISS
F2_8	ISS
ILMAH01	ILMAH
ILMAH02	ILMAH
ILMAH04	ILMAH
ILMAH05	ILMAH
ILMAH06	ILMAH
ILMAH07	ILMAH
ILMAH08	ILMAH
ILMAH21	ILMAH
ILMAH22	ILMAH
ILMAH23	ILMAH
ILMAH24	ILMAH
ILMAH25	ILMAH
ILMAH26	ILMAH
ILMAH27	ILMAH
ILMAH28	ILMAH
ILMAH31	ILMAH
ILMAH32	ILMAH
ILMAH33	ILMAH
ILMAH34	ILMAH
ILMAH35	ILMAH
ILMAH36	ILMAH
ILMAH37	ILMAH
ILMAH38	ILMAH
ILMAH41	ILMAH
ILMAH42	ILMAH
ILMAH43	ILMAH
ILMAH44	ILMAH
ILMAH45	ILMAH
ILMAH46	ILMAH
ILMAH47	ILMAH
ILMAH48	ILMAH
OR.CKP.01.1.A0.S.ITS	AIT
OR.CKP.01.1.A0.W.ITS	AIT
OR.CKP.02.1.A0.W.ITS	AIT
OR.CKP.03.1.A0.S.ITS	AIT
OR.CKP.03.1.A0.W.ITS	AIT
OR.CKP.04.1.A0.W.ITS	AIT
OR.CKP.05.1.A0.S.ITS	AIT
OR.CKP.05.1.A0.W.ITS	AIT
OR.CKP.06.1.A0.S.ITS	AIT
OR.CKP.06.1.A0.W.ITS	AIT
OR.CKP.08.1.A0.S.ITS	AIT
OR.CKP.08.1.A0.W.ITS	AIT
OR.CKP.09.1.A0.S.ITS	AIT
OR.CKP.10.1.A0.S.ITS	AIT
OR.CKP.10.1.A0.W.ITS	AIT
OR.CKP.11.1.A0.S.ITS	AIT
OR.CKP.11.1.A0.W.ITS	AIT
OR.CKP.12.1.A0.S.ITS	AIT
OR.CKP.13.1.A0.S.ITS	AIT
OR.CKP.13.1.A0.W.ITS	AIT
OR.CKP.14.1.A0.S.ITS	AIT
OR.CKP.14.1.A0.W.ITS	AIT
OR.CKP.15.1.A0.S.ITS	AIT
OR.CKP.16.1.A0.S.ITS	AIT
OR.GCKP.17.1.A1.S.ITS	AIT
ORX.Fairing.CK.S.ITS	AIT
ORX.Faring.Blank.S.ITS	AIT
ORX.Kit.Blank.S.ITS	AIT
ORX.Swab.Blank.S.ITS	AIT
Positivecontrol.ITS.zymo	AIT
