class	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1
subject_id	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Acremonium	0.013987536	0.004387954	0.042611076	28.08997632	0.250478398	0.040443141	0.060843112	0	0.026833631	0.481835442	0.009396553	0.017347558	0.022347478	0.009145784	0.006523051	0.029381519	0.021251553	0.018162305	0.044514055	0.01422504	0.013359607	0.006577865	0.008122421	0	0	0.016270745	0.011665111	0.021594684	0.018448294	0	0	0	0.008869311	0	0	0	0.011898919	0.008946144	0	0.048186365	0	0.02860321	0.021543102	0.013225414	0.021862702	0.03113121	0.012478163	0.020308177	0	0.081776179	0.017141633	0	0.009167583	0.056807912	0	0	0.011505715	19.46947918	0	0	0.008314165	0.007079897	0.018400618	0.042040359	0.018879502	0.015830299	0.014771412	0	0	0.029420418
Alternaria	0.010879194	0.005850605	0.085222151	0	0.006223066	0.005777592	0.014486455	0	0.014907573	0	0.039465524	0.046260156	0	0	0.024461441	0.026116906	0.029425227	0.028069017	0.041216718	0.075189498	0.028389165	0.044400592	0.024367263	0.034591247	0.039056143	0.019524894	0.024996667	0.049833887	0.047145639	0.050407644	0.019605182	0.003115556	0.010347529	0.01760169	0	0	0	0.023856385	0.004711351	0	0.036718302	0.022246941	0.052318961	0.026450828	0	0.024577271	0.056151734	0.020308177	0.056070955	0.028621663	0.034283265	0.024682826	0.055005501	0.061972267	0.034764471	0.031939811	0.024929048	0	0.023703423	0.037450067	0.03048527	0	0.044161484	0	0.018879502	0.015830299	0	0.027326671	0.049826852	0.017652251
Amanita	0.012433365	0.016089163	0.016388875	0	0	0.010110785	0.021729683	0	0.071556351	0	0.092086223	0.150345506	0.059593276	0.064020487	0.039138305	0.063659958	0.085006212	0.061091389	0.070892754	0.113800321	0.063458134	0.078934386	0.058481432	0.087301718	0.076484947	0.079726651	0.106652446	0.129568106	0.098390899	0.144648023	0.027145636	0.01557778	0.029564369	0.016001536	0	0.005818859	0.005949459	0.041748673	0	0	0.174411933	0.079453361	0.123103438	0.145479554	0.074333188	0.081924236	0.108144081	0.124387582	0.11723927	0.159463548	0.055710306	0.108604433	0.076396529	0.111033646	0.136160844	0.024842075	0.06328143	0.031746592	0.10429506	0.062416778	0.072056093	0.035399483	0.106723586	0.049047085	0.080237882	0.079151496	0.017233314	0.101499063	0.079722963	0.047072668
Archaeorhizomyces	0.015541706	0.03656628	0.027861088	0	0	0.020221571	0.04201072	0	0.172927847	0	0.082689669	0.075172753	0.181262881	0.187488568	0.091322712	0.146907595	0.091545151	0.080904813	0.112109472	0.10160743	0.143615778	0.162802171	0.155950486	0.207547481	0.061838893	0.162707452	0.154979336	0.124584718	0.05124526	0.065749101	0.051275091	0.028040004	0.036955461	0.027202611	0	0	0.014873648	0.029820481	0.026697657	0.014954389	0.050487665	0.050850151	0.095405164	0.042321325	0.177087888	0.119609385	0.083187755	0.048231919	0.124035749	0.047021303	0.102849796	0.16290665	0.088619973	0.087794045	0.034764471	0.198736603	0.162997622	1.876576306	0.241774912	0.054094541	0.169054679	0.10619845	0.121444081	0.066563901	0.070798131	0.067278772	0.049238041	0.085883823	0.102145046	0.102971462
Arthrobotrys	0.012433365	0.032178326	0.034416638	0	0.020224964	0.02744356	0.026075619	0.006325611	0.140131187	0	0.31008626	0.289125972	0.106771286	0.155478324	0.210368389	0.181186034	0.31713856	0.179971931	0.351166433	0.402365421	0.233793126	0.22200296	0.149452549	0.204253076	0.258746949	0.196876017	0.214971337	0.300664452	0.321820232	0.422985886	0.045242727	0.014020002	0.036955461	0.022402151	0.011858377	0.02473015	0.014873648	0.122263971	0.015704504	0.011631192	0.266207688	0.289210234	0.397008586	0.346505846	0.308264101	0.229387862	0.320272856	0.291930038	0.290549495	0.32506031	0.278551532	0.138223824	0.192519252	0.289203915	0.315777276	0.280360565	0.180256194	0	0.184886698	0.228861518	0.157969127	0.092038656	0.235527914	0.129624439	0.221834144	0.170175716	0.113247495	0.33572767	0.261590971	0.108855546
Arthropsis	0	0	0	0	0	0	0	0	0.032796661	0	0.024431039	0.034695117	0.037245797	0.027437351	0.032615254	0.047336892	0.014712614	0.029720135	0	0.034546526	0.023379313	0.044400592	0.022742779	0.021413629	0.034174125	0.019524894	0.011665111	0.026578073	0.020498104	0.035066187	0.015080909	0	0	0.008000768	0	0	0	0	0	0	0.013769363	0	0.021543102	0	0.017490162	0.018023332	0.018717245	0.022846699	0.028885038	0.040888089	0	0.014809695	0.02750275	0.046479201	0.017382235	0.021293207	0.024929048	0	0.042666161	0.02912783	0.024942494	0.024779638	0	0.014013453	0.037759003	0	0	0.023422861	0.029896111	0.008826125
Aspergillus	0.27664237	0.397841127	0.547388433	0.053670087	0.110459418	0.30332356	0.425901782	0.050604887	2.119856887	0.175502976	3.221138486	2.587677451	2.900206093	2.190415219	2.459190163	2.765127402	2.774145034	2.739205812	2.858791526	2.808429352	2.499916502	3.020884723	2.701517268	2.935314369	2.789259561	2.912463391	2.921277163	3.235880399	2.87383417	2.46778294	0.761585908	0.22432003	0.72580526	0.2656255	0.108419448	0.343312676	0.474469383	0.831991412	0.111501979	0.112988718	2.517498566	2.7872239	2.326654972	2.642437708	2.719720157	3.578450649	2.699442642	2.827913589	2.422944915	2.254978125	3.389757874	2.897763736	2.340789635	2.618328298	2.503041891	2.817801121	2.498657667	0.467380377	2.759078411	2.579893475	2.438821606	2.276186768	2.991940529	1.439882287	2.539292963	2.255817635	1.329427115	2.939569019	3.176461795	1.562224184
Candida	0.012433365	0.017551814	0.042611076	0	0.010890365	0	0.007243228	0.003162805	0.184853906	0	0.31008626	0.387428803	0.134084871	0.269800622	0.171230084	0.217096779	0.222323939	0.254272269	0.224218943	0.339368815	0.265522194	0.299292879	0.183566718	0.207547481	0.262001627	0.268467296	0.208305559	0.292358804	0.336168904	0.486543351	0.058815545	0.009346668	0.036955461	0.006400614	0.010164323	0.026184865	0.019335743	0.122263971	0	0	0.514056225	0.25107262	0.42470686	0.436438661	0.244862265	0.285096343	0.353547958	0.373162745	0.34831957	0.353681972	0.265695307	0.266574517	0.308641975	0.219485114	0.475114433	0.244871886	0.205185242	0	0.194368067	0.178928096	0.196768561	0.148677829	0.217127295	0.087584081	0.179355265	0.18996359	0.086166572	0.249843848	0.23169486	0.114739629
Castanediella	0.015541706	0.013163861	0.031138863	0	0.009334599	0.014443979	0.027524265	0.006325611	0.134168157	0.015954816	0.16725865	0.251539596	0.176296775	0.196634352	0.164707033	0.215464473	0.165108219	0.191529761	0.125298821	0.278404357	0.18536455	0.228580826	0.23067676	0.166367425	0.25549227	0.144809632	0.203306226	0.162790698	0.196781798	0.195055668	0.030161818	0.00778889	0.028086151	0.009600922	0.008470269	0.010183003	0.013386284	0.065605058	0.010993153	0.011631192	0.222604705	0.212935007	0.230818946	0.235412368	0.205509401	0.204810591	0.245403877	0.1954662	0.190301424	0.24737294	0.18855796	0.108604433	0.174184085	0.118780179	0.246248334	0.134856981	0.162997622	0	0.21807149	0.187250333	0.174597456	0.148677829	0.209767048	0.161154709	0.217114268	0.114769669	0.086166572	0.152248595	0.269064999	0.123565755
