ID	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Ascomycota	60203	63337	53724	62851	61857	65488	64116	62298	14601	60767	23983	15124	18770	19233	27873	27698	28655	27320	29984	22665	27417	28616	27848	29682	27980	29037	27999	27771	21774	19831	54767	61062	58103	58183	57802	63906	61951	54506	61515	58587	19089	14822	14031	16309	21413	29489	21502	17822	27003	21958	10589	9287	14237	17087	14495	12825	23044	40746	9329	10628	17464	16096	13842	18829	9780	13078	29759	12089	19102	23578
Basidiomycota	2303	2671	3658	222	1408	1902	2552	522	7950	1124	17425	9931	9190	9697	15378	14744	16784	16008	17474	15569	17640	15850	14462	15977	18343	16646	15580	20253	15857	15150	5188	1626	4242	2096	649	2680	2508	7401	1248	826	13784	9124	10528	12619	12923	19144	15868	11656	17825	15847	6714	5826	8661	11476	10923	6756	12233	7272	5008	7289	8852	6502	7502	4958	5925	6612	5694	7535	11905	5927
Mortierellomycota	1661	2149	3296	266	871	1716	2139	384	10012	729	9875	8094	11193	13320	16093	17085	13690	15181	10977	8661	12641	13986	17417	13102	12676	13734	14581	9930	8778	8464	5767	1438	4932	2012	565	1902	2587	4478	821	731	8605	6435	6116	7005	9872	10012	8258	8064	11382	8738	5248	4504	8878	8758	7615	7789	15504	892	6243	5460	8588	4908	5048	2763	4902	4899	4563	5336	7798	3959
unidentified	141	169	265	2	104	83	156	21	741	34	1497	1152	832	1179	1653	1371	1554	1676	1766	1860	1786	1850	1406	1505	2073	1557	1469	1784	1881	1782	434	52	266	145	4	182	128	566	71	34	1790	831	1487	1484	1139	1968	2028	1473	2107	1924	659	542	778	1167	1141	641	991	6885	388	545	881	618	623	304	469	551	424	538	1127	397
Mucoromycota	10	18	34	3	14	19	37	5	128	4	277	180	150	149	148	173	285	185	284	298	203	269	225	215	232	286	181	302	334	278	68	8	64	13	0	46	18	69	14	5	185	166	223	273	233	285	293	270	357	290	72	51	112	156	273	74	228	0	62	63	162	58	75	1669	70	96	137	70	117	86
Rozellomycota	25	25	30	4	20	25	28	5	102	19	124	88	126	153	152	179	174	173	147	119	178	211	191	206	120	189	179	135	128	91	85	8	42	43	10	26	41	36	7	0	80	73	68	86	146	122	89	77	144	116	49	47	54	67	52	87	132	435	62	38	128	62	73	21	34	24	35	40	74	34
Chytridiomycota	0	0	8	2	3	0	2	0	3	0	30	18	12	5	20	13	30	22	20	37	17	24	9	17	26	11	19	25	33	29	0	0	0	0	0	0	0	12	0	0	42	11	37	30	14	12	44	31	34	41	4	0	4	16	19	6	16	288	2	9	8	5	8	0	7	8	7	6	16	9
Glomeromycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0
Basidiobolomycota	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	4	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
Aphelidiomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kickxellomycota	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zoopagomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
