	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
F01	0	0.413883214	0.410132049	0.596460175	0.411519208	0.446250508	0.392573509	0.547704893	0.526404795	0.475003887	0.601935417	0.626538016	0.502690952	0.522949767	0.580874716	0.613686418	0.598739446	0.644725104	0.641548593	0.650076362	0.608272493	0.660283175	0.558293591	0.623326343	0.644117888	0.56206004	0.620279854	0.625125364	0.647505418	0.671570993	0.447325623	0.422180577	0.430967186	0.456835183	0.518647358	0.4066892	0.40733328	0.5333116	0.451002609	0.483776671	0.678137773	0.561211886	0.648493899	0.65362507	0.590863064	0.648358954	0.675673262	0.605665549	0.688402361	0.64450479	0.513689647	0.464486813	0.496002819	0.575618646	0.591866484	0.510842421	0.534100038	0.764728752	0.460122964	0.499899565	0.549216699	0.473162752	0.547644939	0.433611014	0.503640061	0.422080607	0.489868041	0.483961809	0.57188429	0.491209494
F02	0.413883214	0	0.431339309	0.60627192	0.412219927	0.464699657	0.372526267	0.503929236	0.466458447	0.495495288	0.607549261	0.618775811	0.503341061	0.535735294	0.592545758	0.585306683	0.588951915	0.639591523	0.64051006	0.648108578	0.605544498	0.666683799	0.569091641	0.632788014	0.644252602	0.558427023	0.60322266	0.625787498	0.637204083	0.677732978	0.439070117	0.40340662	0.370970812	0.454874452	0.473112622	0.381021299	0.42344999	0.516816578	0.419111848	0.507614647	0.678349359	0.544136061	0.638039474	0.651187641	0.584808681	0.627617839	0.667212686	0.59797443	0.686112163	0.643561583	0.489941161	0.472097578	0.489961195	0.556099608	0.590614754	0.506648962	0.546890295	0.758133357	0.440505121	0.482174684	0.511908925	0.443186956	0.536431374	0.446906794	0.492185804	0.41236045	0.487347929	0.480329626	0.584605619	0.453966092
F03	0.410132049	0.431339309	0	0.668815702	0.441562707	0.434236648	0.407806997	0.60490788	0.434542905	0.531194777	0.564606754	0.552487144	0.420988164	0.489473721	0.507871021	0.53568666	0.5387184	0.577350118	0.593062596	0.603013549	0.563103489	0.606738603	0.478329844	0.588171788	0.585848583	0.492363043	0.561731878	0.56624903	0.581443389	0.611889528	0.407267444	0.498199409	0.392119394	0.403039469	0.549681597	0.429233109	0.426922153	0.493488115	0.484381797	0.537447701	0.630814371	0.498797566	0.579356467	0.603190674	0.512689872	0.58475549	0.603346816	0.539015719	0.641875561	0.593148664	0.4375468	0.461548266	0.415498577	0.493588224	0.510910203	0.462613817	0.467950091	0.765735842	0.427630721	0.483428301	0.488043265	0.42204264	0.495629002	0.377145131	0.451422423	0.403470573	0.446450633	0.415392025	0.524625757	0.431932759
F04	0.596460175	0.60627192	0.668815702	0	0.497505265	0.537499523	0.580606045	0.374590886	0.746004874	0.423139025	0.817590773	0.815639468	0.744540989	0.770258401	0.800597043	0.805886176	0.810656346	0.823021029	0.830569082	0.828818264	0.811911921	0.841612451	0.789164228	0.829062556	0.83847024	0.790349029	0.81582746	0.827967691	0.833825585	0.846567789	0.694759366	0.471733838	0.612157049	0.536315876	0.415567801	0.591067252	0.523613422	0.762407672	0.528690807	0.408074709	0.853274707	0.777806504	0.833266439	0.833101686	0.803714263	0.82540759	0.843977494	0.814756278	0.852713579	0.832285605	0.755460966	0.724646953	0.73406304	0.789650789	0.808065325	0.754653627	0.774041432	0.794577373	0.665229197	0.737914918	0.765010528	0.720371566	0.767102585	0.708069047	0.731632798	0.697999183	0.722248186	0.72244635	0.801336525	0.727763467
F05	0.411519208	0.412219927	0.441562707	0.497505265	0	0.372776075	0.369553633	0.403621575	0.562526251	0.426368893	0.674129411	0.675822412	0.54364096	0.59952031	0.640515825	0.653396119	0.670980921	0.698490904	0.696398125	0.705915622	0.667776243	0.719033101	0.619138914	0.691914729	0.70409712	0.62577618	0.674580277	0.686905989	0.705664297	0.727721167	0.454277977	0.348104054	0.424382206	0.338480922	0.376443168	0.384368675	0.351037836	0.587997849	0.40071323	0.413899538	0.735502735	0.605536338	0.702779597	0.707446377	0.646283711	0.688451167	0.725212977	0.667392971	0.738054789	0.703855707	0.572590563	0.515805746	0.554206925	0.625385853	0.654742618	0.575286548	0.600016404	0.777526814	0.467839961	0.556674864	0.569892387	0.54144948	0.603458869	0.516688632	0.549133113	0.477333603	0.539896421	0.525676417	0.627148246	0.538556891
F06	0.446250508	0.464699657	0.434236648	0.537499523	0.372776075	0	0.37480875	0.469609624	0.558127799	0.409343144	0.649679953	0.649327885	0.563772285	0.579195403	0.620979184	0.636290324	0.646688184	0.663682505	0.662989859	0.674826611	0.642456326	0.696354562	0.608023641	0.671605097	0.683255778	0.604220091	0.66544872	0.673489569	0.678037457	0.709981376	0.497520927	0.364265214	0.413380735	0.387851625	0.437981574	0.43402312	0.347511217	0.564074343	0.438218211	0.430101104	0.711579486	0.589308047	0.670930061	0.677725433	0.612550521	0.661757599	0.707551584	0.640440183	0.714415254	0.679429828	0.556057426	0.51983601	0.525298317	0.629857899	0.63640316	0.56088217	0.589245178	0.754584548	0.468688048	0.531422071	0.570528288	0.511223643	0.579510105	0.478508152	0.525560634	0.434811328	0.495073704	0.511740673	0.617695924	0.517409019
F07	0.392573509	0.372526267	0.407806997	0.580606045	0.369553633	0.37480875	0	0.501659888	0.497172115	0.448800726	0.620487693	0.612544395	0.497764485	0.557345673	0.590954674	0.594909315	0.603040117	0.631662572	0.64497519	0.641606859	0.61727921	0.659710629	0.558269938	0.641297085	0.646747232	0.578998308	0.61561973	0.643057755	0.642652188	0.675915297	0.443860128	0.388716338	0.377163042	0.362062099	0.468456117	0.393418932	0.396934315	0.517959681	0.394631914	0.482127357	0.678140835	0.547440481	0.642731357	0.643017455	0.580009227	0.647830584	0.672402474	0.600255863	0.68312322	0.646275035	0.502575791	0.474876161	0.511335325	0.570885229	0.599103005	0.521051121	0.542435113	0.785508862	0.411912471	0.508607127	0.532879289	0.474760525	0.539742664	0.468632709	0.491451825	0.456392501	0.51569476	0.494755649	0.575308187	0.468399955
F08	0.547704893	0.503929236	0.60490788	0.374590886	0.403621575	0.469609624	0.501659888	0	0.689834282	0.456838476	0.770840133	0.775082052	0.679836446	0.714546362	0.752683575	0.758504956	0.766022691	0.787966679	0.791286781	0.794061786	0.768049715	0.803365998	0.733094091	0.780301123	0.793238892	0.74091443	0.771336334	0.782112242	0.790236175	0.809234857	0.614692244	0.402144078	0.536908722	0.455117001	0.352979786	0.5134178	0.417535268	0.713135886	0.442414209	0.376590055	0.812661465	0.729574545	0.790831232	0.794113938	0.751072691	0.783294608	0.812506046	0.769032212	0.816541087	0.79470064	0.691129941	0.651452621	0.684470908	0.735666984	0.756906684	0.693359716	0.71627087	0.779962706	0.595628983	0.668903041	0.710129209	0.651817395	0.71823344	0.638270479	0.681420991	0.618881352	0.667761665	0.654828122	0.746772903	0.664507299
F09	0.526404795	0.466458447	0.434542905	0.746004874	0.562526251	0.558127799	0.497172115	0.689834282	0	0.643914171	0.46157196	0.476612153	0.397642997	0.401083682	0.42235079	0.433887381	0.45347075	0.471766891	0.486705769	0.502067395	0.439705507	0.509262529	0.412132045	0.491774442	0.495695099	0.397504863	0.437951457	0.458263997	0.467530911	0.517994013	0.420828488	0.593601177	0.454534901	0.556401607	0.670032697	0.486444472	0.555145444	0.433456005	0.60242645	0.678945759	0.528131749	0.396069292	0.487127181	0.503733167	0.456041143	0.488857413	0.501646791	0.429503829	0.536712083	0.473871343	0.393486997	0.402267625	0.373942633	0.382892022	0.415569778	0.435149501	0.38931207	0.785800679	0.470254622	0.426960439	0.387679591	0.387256891	0.414706908	0.404864584	0.440678021	0.422996076	0.461045292	0.401444523	0.442345524	0.399625545
F10	0.475003887	0.495495288	0.531194777	0.423139025	0.426368893	0.409343144	0.448800726	0.456838476	0.643914171	0	0.720517148	0.726228626	0.635552388	0.667029022	0.710189998	0.719574419	0.724042423	0.742227509	0.74298679	0.749999328	0.719775626	0.764924573	0.690746416	0.738207713	0.757420219	0.69298749	0.730417182	0.742614757	0.745794242	0.774484538	0.588474913	0.345212148	0.482153252	0.431138531	0.390187553	0.48442318	0.423665802	0.655265386	0.43247751	0.379911911	0.77883425	0.675545318	0.746765434	0.748892536	0.703544004	0.733767304	0.771241212	0.716784339	0.779417245	0.750191302	0.632815868	0.612782355	0.635444284	0.694967058	0.71988142	0.63447232	0.672689422	0.780783738	0.58929619	0.636753646	0.641936475	0.577573413	0.660240792	0.573797789	0.60120236	0.585590852	0.615058504	0.605219017	0.69911582	0.626989282
