SampleID	group	site1	site2	time1	time2	time3
F01	G1	I	0	201707	A	D58
F02	G1	C	0	201707	A	D58
F03	G1	C	0	201707	A	D58
F04	G1	P1	1	201707	A	D58
F05	G1	P1	1	201707	A	D58
F06	G1	P2	1	201707	A	D58
F07	G1	P2	1	201707	A	D58
F08	G1	S	2	201707	A	D58
F09	G1	S	2	201707	A	D58
F10	G1	ST	2	201707	A	D58
F11	G2	I	0	201708	B	D90
F12	G2	C	0	201708	B	D90
F13	G2	C	0	201708	B	D90
F14	G2	P1	1	201708	B	D90
F15	G2	P1	1	201708	B	D90
F16	G2	P2	1	201708	B	D90
F17	G2	P2	1	201708	B	D90
F18	G2	S	2	201708	B	D90
F19	G2	S	2	201708	B	D90
F20	G2	ST	2	201708	B	D90
F21	G2	I	0	201709	C	D123
F22	G2	C	0	201709	C	D123
F23	G2	C	0	201709	C	D123
F24	G2	P1	1	201709	C	D123
F25	G2	P1	1	201709	C	D123
F26	G2	P2	1	201709	C	D123
F27	G2	P2	1	201709	C	D123
F28	G2	S	2	201709	C	D123
F29	G2	S	2	201709	C	D123
F30	G2	ST	2	201709	C	D123
F31	G2	I	0	201710	D	D156
F32	G2	C	0	201710	D	D156
F33	G2	C	0	201710	D	D156
F34	G2	P1	1	201710	D	D156
F35	G2	P1	1	201710	D	D156
F36	G2	P2	1	201710	D	D156
F37	G2	P2	1	201710	D	D156
F38	G2	S	2	201710	D	D156
F39	G2	S	2	201710	D	D156
F40	G2	ST	2	201710	D	D156
F41	G2	I	0	201712	E	D216
F42	G2	C	0	201712	E	D216
F43	G2	C	0	201712	E	D216
F44	G2	P1	1	201712	E	D216
F45	G2	P1	1	201712	E	D216
F46	G2	P2	1	201712	E	D216
F47	G2	P2	1	201712	E	D216
F48	G2	S	2	201712	E	D216
F49	G2	S	2	201712	E	D216
F50	G2	ST	2	201712	E	D216
F51	G1	I	0	201803	F	D316
F52	G1	C	0	201803	F	D316
F53	G1	C	0	201803	F	D316
F54	G1	P1	1	201803	F	D316
F55	G1	P1	1	201803	F	D316
F56	G1	P2	1	201803	F	D316
F57	G1	P2	1	201803	F	D316
F58	G1	S	2	201803	F	D316
F59	G1	S	2	201803	F	D316
F60	G1	ST	2	201803	F	D316
F61	G1	I	0	201804	G	D330
F62	G1	C	0	201804	G	D330
F63	G1	C	0	201804	G	D330
F64	G1	P1	1	201804	G	D330
F65	G1	P1	1	201804	G	D330
F66	G1	P2	1	201804	G	D330
F67	G1	P2	1	201804	G	D330
F68	G1	S	2	201804	G	D330
F69	G1	S	2	201804	G	D330
F70	G1	ST	2	201804	G	D330
