	%IncMSE	IncNodePurity
Fulvoflamma	0.021274034	0.646727637
Penicillifer	0.016452865	1.071213145
Nigrospora	0.009740077	0.367448636
Podospora	0.008556147	0.356182414
Piskurozyma	0.007491209	0.677017794
Acremonium	0.004899954	0.751496066
Sagenomella	0.004433945	0.075777668
Gibberella	0.004210727	0.402216246
Meyerozyma	0.00416968	0.075034261
Arthrobotrys	0.003884472	0.199005325
Craterellus	0.002998234	0.086318177
Septoria	0.002797218	0.234727022
Geomyces	0.002568662	0.073808376
Sarcodon	0.002343091	0.242168377
Mycosphaerella	0.002286492	0.248421127
Amanita	0.002232432	0.10809295
Paraphaeosphaeria	0.002150105	0.162977314
Talaromyces	0.002062547	0.167345242
Mortierella	0.00198955	0.157827251
Russula	0.001913902	0.10270566
Trichoderma	0.001829605	0.05394565
Wickerhamomyces	0.001564092	0.151369936
Teichospora	0.001465763	0.090759931
Sporothrix	0.00146523	0.115543067
Arthropsis	0.001382156	0.071234384
Fusarium	0.001266548	0.428664192
Arachnopeziza	0.001215969	0.289074319
Umbelopsis	0.001188218	0.107541591
Candida	0.001103214	0.067843149
unidentified	0.000921162	0.195888198
Botryotrichum	0.000919571	0.095983381
Dictyochaeta	0.000780303	0.071599998
Phialea	0.00077284	0.02762997
Psilocybe	0.00075414	0.03227293
Purpureocillium	0.00071506	0.266752563
Tausonia	0.00062003	0.099043192
Xenomyrothecium	0.000545581	0.019218019
Plectosphaerella	0.000458333	0.085928146
Mollisia	0.000353573	0.264159468
Tomentella	0.000334316	0.170003419
Verticillium	0.000299481	0.109026909
Bionectria	0.000276923	0.03677456
Proliferodiscus	0.00024537	0.007774681
Spumatoria	0.000197619	0.02271317
Myxocephala	0.000152273	0.036095302
Rhizopus	8.33E-05	0.016956731
Cercophora	8.33E-05	0.022480921
Microdochium	8.33E-05	0.113987925
Yamadamyces	6.98E-05	0.113854064
Leptoxyphium	6.67E-05	0.001857843
Periconia	6.25E-05	0.0715537
Hyaloscypha	3.70E-05	0.009107601
Polyscytalum	2.84E-05	0.019603783
Mycochlamys	7.69E-06	0.016071439
Thermoascus	0	0.005919278
Clavaria	0	0
Thermomyces	0	0
Trichosporon	0	0.003928571
Hygrocybe	0	0
Moesziomyces	0	0
Remersonia	0	0.003726708
Vishniacozyma	0	0.001236264
Ramichloridium	0	0
Beauveria	0	0
Kazachstania	0	0
Microbotryozyma	0	0.002028571
Buckleyzyma	0	0
Ogataea	0	0
Hyphoderma	0	0
Monascus	0	0
Paraglomus	0	0
Coprinellus	0	9.00E-04
Sclerotinia	0	0
Filobasidium	0	0.000736364
Saccharomycopsis	0	9.00E-04
