Taxonomy	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Penicillium	38439	532	46959	42640	56796	1649	1267	52276	1770	49343	2621	1547	2107	2081	2933	2881	3046	2898	5461	2213	2966	2965	3147	3293	3215	3378	3083	3139	2452	2053	1165	35399	867	39592	42785	573	4385	1162	50458	49253	2025	1649	1399	1725	2433	3209	2323	1882	2852	3004	1152	1019	1553	1709	1488	1398	2414	3201	1170	1334	2181	6276	2559	11740	1227	4016	18149	1543	2208	15547
Cladosporium	18432	57637	744	2053	2727	61581	59690	9264	84	9385	105	62	67	45	89	95	94	105	339	70	91	106	61	98	98	52	95	68	76	81	44925	23161	50476	14789	13822	60145	54253	45769	9676	8018	62	22	64	67	73	102	64	73	130	124	36	36	48	69	53	53	52	2467	21	42	68	34	46	76	25	51	743	23	68	124
Mortierella	1661	2149	3296	266	871	1716	2139	384	10012	729	9875	8094	11193	13320	16090	17085	13686	15181	10973	8661	12641	13986	17415	13102	12668	13734	14581	9930	8778	8464	5767	1438	4932	2012	565	1902	2587	4478	821	731	8602	6432	6116	7005	9872	10012	8254	8064	11380	8738	5246	4504	8878	8758	7612	7789	15504	892	6243	5460	8588	4908	5048	2763	4902	4899	4563	5336	7798	3959
Trichoderma	1264	1168	2505	113	834	832	1128	334	5270	829	8008	4509	6168	6684	9627	8703	9369	9386	8246	6844	8173	8520	9436	8992	8514	9331	8221	8584	6550	5799	3344	1209	2979	1571	541	1266	1475	3025	488	624	5924	4976	4184	4933	6961	8683	6440	5524	8060	6740	3577	3046	5369	6106	4751	4387	8161	713	3196	3820	5358	3815	4110	2496	3344	3778	3246	4037	5607	3191
Russula	1284	1404	1980	134	757	936	1395	253	4380	547	8458	4917	4935	5169	8205	7644	8804	8324	8807	7219	9083	8422	7910	8124	8847	8652	8181	9908	7706	7076	2726	857	2319	1155	341	1483	1337	3570	606	483	6391	4747	4680	5874	6559	9635	7474	5390	8576	7436	3388	3076	4424	5689	5128	3523	6414	660	2795	3398	4667	3362	3944	2596	3120	3431	2917	3780	5808	3131
unidentified	899	2840	1447	51	605	652	906	190	3160	378	6762	4840	4284	4531	6455	6535	7253	6843	7817	7751	8149	8044	6442	7890	8264	7333	7352	8336	7150	7226	2201	513	1501	881	187	968	766	2394	477	246	6393	3827	5082	5682	5484	8635	7217	5699	8682	7218	2678	2358	3348	4759	4616	2833	5053	13228	1799	3189	4343	2694	3119	1715	2134	2407	2143	2858	5236	1933
Oidiodendron	426	400	807	50	291	259	321	101	1724	236	2537	1704	2440	2580	3760	3818	3562	3223	3089	2336	3543	3497	3533	4111	3250	3595	3559	3092	2420	1875	1174	292	792	535	146	365	337	757	177	186	1806	1730	1396	1618	2747	3757	2260	1904	2989	2168	1030	1066	1535	1752	1476	1526	2870	371	1094	994	2411	1361	1600	862	1170	1289	951	1397	2518	971
Lactifluus	456	504	669	46	276	426	424	132	1550	252	3398	1790	1631	1794	2902	2757	3099	3057	2964	2949	2910	2604	2502	2669	3501	2794	2702	3884	2975	2658	962	306	729	403	128	436	503	1633	247	178	2508	1626	2117	2264	2296	3394	3016	2306	3293	3007	1280	1052	1617	2308	2266	1263	2323	334	905	1313	1576	1244	1331	886	1079	1285	1091	1456	2251	1210
Craterellus	200	247	375	23	135	183	301	53	899	116	2061	1115	986	1128	1887	1858	1905	1758	2017	1788	2042	1831	1669	2001	2353	1999	1773	2195	1807	1692	629	175	482	205	79	289	274	822	112	74	1604	1143	1236	1368	1599	2038	1747	1261	1971	1757	867	699	1019	1279	1172	903	1398	0	570	682	996	742	865	543	637	728	679	889	1551	604
Chloridium	288	267	463	26	226	129	207	79	863	133	1452	989	1404	1395	1960	1963	2063	1911	1863	1364	2164	2134	1739	2151	1908	2289	2148	2024	1248	1139	865	162	515	345	99	208	248	475	109	71	1115	1153	860	839	1501	2047	1406	1023	1946	1286	807	732	870	1104	718	996	1440	201	697	649	1396	899	998	465	654	575	701	835	1515	612
Aspergillus	180	272	334	34	71	210	294	32	716	110	1731	904	1181	964	1527	1705	1737	1686	1756	1401	1522	1876	1679	1797	1750	1797	1803	1995	1414	1152	510	144	538	166	64	236	319	572	71	68	1119	888	785	1005	1263	2213	1328	1120	1455	1111	804	603	790	1027	892	803	1314	302	586	620	913	647	818	415	538	573	552	761	1296	541
Tolypocladium	244	281	387	58	174	122	240	55	627	122	1092	719	997	891	1320	1295	1445	1326	1324	1048	1477	1553	1352	1569	1383	1633	1515	1325	1052	948	445	167	386	303	89	234	215	433	90	86	937	678	735	847	1039	1451	972	895	1342	919	497	418	616	711	617	634	1106	0	550	492	890	517	609	396	443	426	477	557	897	390
Wickerhamomyces	82	113	185	15	48	84	97	14	752	37	948	673	638	777	1153	1002	1032	1170	959	1026	943	1072	1201	954	1194	953	1013	1047	977	1010	355	68	269	77	30	136	130	466	60	40	996	579	743	883	789	1035	1010	815	1223	1095	471	372	812	881	874	627	1113	0	370	603	602	367	376	232	413	447	332	485	658	412
Acremonium	9	7	26	17795	161	28	42	0	9	302	5	6	11	4	20	18	19	17	30	10	8	8	8	0	0	19	7	21	13	0	0	0	6	0	0	2	8	9	0	29	0	9	11	7	14	19	16	8	14	40	4	0	3	25	2	0	17	11370	0	0	3	4	5	12	4	13	6	0	0	10
Sarcodon	26	28	46	2	20	29	32	6	156	11	515	250	144	176	340	264	292	374	356	429	340	299	301	294	518	318	293	407	494	481	78	13	77	15	8	31	37	211	31	5	524	190	368	454	197	305	457	309	421	516	130	115	260	291	386	140	276	0	99	181	122	96	124	93	110	171	108	162	185	119
Lactarius	44	60	63	0	30	35	49	7	84	30	360	163	139	122	284	316	316	216	395	384	406	295	179	306	341	343	256	462	317	388	74	36	66	50	9	66	40	149	20	0	357	180	259	357	255	472	435	256	381	375	127	126	129	176	183	59	186	334	78	116	133	156	174	100	99	87	124	159	272	100
Chaetomium	48	0	61	10	33	31	47	0	140	34	320	128	197	150	283	256	244	246	349	292	292	342	288	321	332	295	308	323	286	309	115	40	40	55	25	59	0	80	31	0	238	114	128	208	265	377	277	229	377	285	121	97	60	190	112	94	244	0	94	85	160	127	127	75	132	81	62	144	194	95
Fusarium	11	24	27	0	12	24	18	0	34	9	6	54	63	37	55	92	87	46	132	69	73	105	83	95	39	83	87	55	50	59	3	0	17	16	18	7	14	23	9	9	73	54	49	36	50	73	59	31	63	73	23	18	32	41	31	3	64	4395	0	33	37	27	35	15	18	122	2777	25	74	130
Umbelopsis	10	18	34	3	14	19	37	5	128	4	274	178	150	149	148	173	285	185	284	294	203	269	225	215	232	286	177	302	334	275	68	8	64	13	0	44	18	69	14	5	185	166	221	273	233	285	289	270	353	290	72	51	112	156	271	74	228	0	62	63	133	58	75	67	66	96	54	62	117	83
Talaromyces	42	51	34	3	22	20	40	4	88	18	174	142	147	130	211	224	213	243	271	215	271	280	210	251	255	265	287	300	238	224	106	32	65	17	17	34	24	72	19	13	232	162	139	168	184	306	222	180	204	183	103	96	93	113	121	94	142	100	44	76	114	88	104	67	83	73	65	80	200	81
Verticillium	19	36	47	5	27	29	23	7	80	0	134	96	143	121	180	221	158	152	96	142	150	202	161	177	164	154	191	140	117	131	63	13	51	35	11	43	35	29	17	8	109	62	91	109	128	187	122	115	145	91	60	62	80	103	108	93	118	178	63	42	108	60	71	32	63	50	61	75	104	51
Candida	8	12	26	0	7	0	5	2	62	0	165	134	54	118	105	133	136	154	149	167	159	184	117	126	161	165	130	176	164	231	39	6	25	4	6	18	13	82	0	0	227	79	138	165	112	181	170	147	208	181	62	54	101	85	168	69	107	0	41	43	71	42	59	25	38	48	35	64	93	39
Arthrobotrys	8	22	21	0	13	19	18	4	47	0	165	100	43	68	129	111	194	109	213	198	140	135	92	124	159	121	129	181	157	193	30	9	25	14	7	17	10	82	10	7	116	91	129	131	141	140	154	115	171	159	65	28	63	112	109	79	94	0	39	55	57	26	64	37	47	43	46	86	105	37
Sebacina	0	46	53	0	0	27	62	11	42	0	147	79	65	61	101	99	148	91	164	141	130	139	84	143	138	139	148	176	147	130	34	24	27	30	8	0	32	48	16	0	112	74	59	109	105	229	148	140	119	132	61	0	38	65	63	55	68	429	37	29	54	49	70	38	28	34	53	49	65	26
Sporothrix	30	14	30	0	0	0	20	0	48	4	138	114	78	31	119	144	121	106	166	167	142	123	68	134	154	131	105	163	163	91	16	4	22	24	5	18	17	49	7	5	168	57	111	121	126	91	176	107	182	101	36	39	76	111	106	29	83	0	34	60	81	60	75	35	43	50	39	59	49	35
Castanediella	10	9	19	0	6	10	19	4	51	10	100	95	71	92	108	137	108	123	76	144	118	151	160	110	178	97	133	112	106	100	20	5	19	6	5	7	9	44	7	7	109	79	79	97	94	125	136	101	118	125	44	28	57	55	85	44	85	0	46	45	63	42	65	46	46	29	35	49	117	42
