ID	idh	ver1	nor1	tri5	ITS1
P01	536.1591661	0	0	651931.646	1600.063145
P02	0	162255.2609	36.55914	570310.2315	2045.332791
P03	199.0318808	107814.1872	33.60240849	0	2866.658194
P04	464.0776604	234511.6666	65.51229187	53017.19749	711.6533302
P05	147.1689607	269549.9633	72.79553615	0	1935.40981
P06	109.5367719	104947.2611	47.75039033	0	1660.088156
P07	0	122814.3565	47.75039033	130951.7347	3162.471767
P08	262.1974798	0	0	1601669.539	2712.594457
P09	91.14986463	239838.2557	28.99183258	251532.9307	2122.061714
P10	78.89563137	319719.9291	38.94620495	263941.4359	2256.392903
P11	96.69572745	0	15.62025768	77103.00225	657.0747175
P12	0	0	33.83939088	162202.1838	223.0779146
P13	120.868194	0	0	2457331.784	220.356179
P14	112.4502686	153051.7769	0	676811.1675	1809.049923
P15	161.3311308	0	30.0286854	1870502.789	1797.980097
P16	0	247499.3496	0	1601669.539	399.6643095
P17	302.9225367	0	0	68908.83903	0
P18	0	210545.1458	12.65098332	176699.3179	711.6533302
P19	1915.229529	0	0	209696.5213	539.8999286
P20	739.5211157	0	0	121501.1395	0
P21	247.1594704	0	0	298504.7209	0
P22	1425.491211	0	0	614670.0705	134.0311806
P23	148.1379611	290939.6359	0	585772.9907	1206.469185
P24	187.6166556	0	121.5934741	1212673.374	780.2855404
P25	565.0603745	0	0	213089.541	1754.374047
P26	512.0858293	0	0	418157.8682	1093.617598
P27	2127.272192	153740.8143	0	168392.269	489.3983784
P28	43.70593203	0	100.5779425	0	1380.896113
P29	1781.842416	148981.9214	0	1245552.455	829.6793347
P30	1082.078278	0	0	1258952.356	606.6818857
P31	373.7111486	485505.5323	30.45373617	186410.8698	2902.065805
P32	78.89563137	102156.5703	35.79641876	2115446.22	1842.670003
P33	175.6992849	0	0	230896.1407	979.2270549
P34	126.550251	0	14.97529588	0	1355.701236
P35	119.2921193	172786.5758	58.54485127	83546.03238	1251.728853
P36	640.0995266	171241.2526	12.38705004	230896.1407	926.6001368
P37	543.242845	102616.4781	28.99183258	120207.919	1590.272141
P38	0	132560.0777	22.99086789	46628.29152	2109.076531
P39	262.1974798	184829.807	33.83939088	856460.8213	4514.769714
P40	942.7699819	129035.1247	18.49010273	75067.69988	3201.533128
P41	0	146987.7591	0	95502.93752	887.6314061
P42	754.225129	138028.8781	0	199838.1967	621.7613387
P43	90.55363491	0	25.54684782	0	409.5982128
P44	349.9730948	0	0	126814.6537	657.0747175
P45	0	0	0	0	819.5565602
P46	816.0235135	0	0	180521.701	510.8839111
P47	532.6520416	0	0	0	194.8999842
P48	434.5995437	154432.9537	0	89086.00054	182.175268
P49	0	0	22.51121698	0	645.0861876
P50	0	0	0	0	2614.513213
P51	0	0	0	151303.658	191.3439738
P52	0	0	0	0	876.8015664
P53	0	0	0	0	385.2133574
P54	729.8780431	0	0	216537.4619	1995.72775
P55	0	0	0	506980.4003	991.3220036
P56	120.077571	0	18.62050495	163947.1868	742.8962857
P57	0	0	0	0	887.6314061
P58	0	0	0	184426.7703	0
P59	85.36004414	0	0	0	1003.566346
P60	64.37224062	0	0	0	2020.378033
P61	0	0	30.88480346	420401.1632	294.0436418
P62	0	0	0	0	1067.09431
P63	136.9193053	0	0	989568.0685	673.4067154
P64	0	0	0	1113180.695	0
P65	125.7224602	210545.1458	0	210821.482	306.9527248
P66	1060.982596	155128.2092	13.86123664	232134.8312	37986.00377
P67	248.7868355	0	35.545731	191465.0079	461904.1891
P68	65.65216389	0	0	0	3848.824815
P69	0	0	0	0	0
P70	255.4041525	0	2754.584878	110345.5702	31021.04673
