SampleID	group	site1	site2	time1	time2	time3
P01	G1	I	IC	201707	A	D58
P02	G1	C	IC	201707	A	D58
P03	G1	C	IC	201707	A	D58
P04	G1	P1	P	201707	A	D58
P05	G1	P1	P	201707	A	D58
P06	G1	P2	P	201707	A	D58
P07	G1	P2	P	201707	A	D58
P08	G1	S	SST	201707	A	D58
P09	G1	S	SST	201707	A	D58
P10	G1	ST	SST	201707	A	D58
P11	G2	I	IC	201708	B	D90
P12	G2	C	IC	201708	B	D90
P13	G2	C	IC	201708	B	D90
P14	G2	P1	P	201708	B	D90
P15	G2	P1	P	201708	B	D90
P16	G2	P2	P	201708	B	D90
P17	G2	P2	P	201708	B	D90
P18	G2	S	SST	201708	B	D90
P19	G2	S	SST	201708	B	D90
P20	G2	ST	SST	201708	B	D90
P21	G2	I	IC	201709	C	D123
P22	G2	C	IC	201709	C	D123
P23	G2	C	IC	201709	C	D123
P24	G2	P1	P	201709	C	D123
P25	G2	P1	P	201709	C	D123
P26	G2	P2	P	201709	C	D123
P27	G2	P2	P	201709	C	D123
P28	G2	S	SST	201709	C	D123
P29	G2	S	SST	201709	C	D123
P30	G2	ST	SST	201709	C	D123
P31	G2	I	IC	201710	D	D156
P32	G2	C	IC	201710	D	D156
P33	G2	C	IC	201710	D	D156
P34	G2	P1	P	201710	D	D156
P35	G2	P1	P	201710	D	D156
P36	G2	P2	P	201710	D	D156
P37	G2	P2	P	201710	D	D156
P38	G2	S	SST	201710	D	D156
P39	G2	S	SST	201710	D	D156
P40	G2	ST	SST	201710	D	D156
P41	G2	I	IC	201712	E	D216
P42	G2	C	IC	201712	E	D216
P43	G2	C	IC	201712	E	D216
P44	G2	P1	P	201712	E	D216
P45	G2	P1	P	201712	E	D216
P46	G2	P2	P	201712	E	D216
P47	G2	P2	P	201712	E	D216
P48	G2	S	SST	201712	E	D216
P49	G2	S	SST	201712	E	D216
P50	G2	ST	SST	201712	E	D216
P51	G1	I	IC	201803	F	D316
P52	G1	C	IC	201803	F	D316
P53	G1	C	IC	201803	F	D316
P54	G1	P1	P	201803	F	D316
P55	G1	P1	P	201803	F	D316
P56	G1	P2	P	201803	F	D316
P57	G1	P2	P	201803	F	D316
P58	G1	S	SST	201803	F	D316
P59	G1	S	SST	201803	F	D316
P60	G1	ST	SST	201803	F	D316
P61	G1	I	IC	201804	G	D330
P62	G1	C	IC	201804	G	D330
P63	G1	C	IC	201804	G	D330
P64	G1	P1	P	201804	G	D330
P65	G1	P1	P	201804	G	D330
P66	G1	P2	P	201804	G	D330
P67	G1	P2	P	201804	G	D330
P68	G1	S	SST	201804	G	D330
P69	G1	S	SST	201804	G	D330
P70	G1	ST	SST	201804	G	D330
