"","idh","ver1","nor1","tri5","ITS1"
"Penicillium",0.140408774618779,0.0342338143598218,0.164291806029155,-0.00788813039086937,0.270354957541414
"Cladosporium",0.0376559656555469,0.257342469228468,0.558580500980458,0.0344642475466843,0.382053367525832
"Mortierella",-0.182349057946466,-0.188176191236175,-0.430662190795519,0.0863635573443281,-0.346576608353407
"Trichoderma",-0.129875018358765,-0.248200144460655,-0.454096421718086,-0.0209114866066671,-0.264824293555974
"Russula",0.0532884140212488,-0.412003456785261,-0.490411719968951,-0.123968939588048,-0.420873028031228
"unidentified",0.00539965657025943,-0.458533498343712,-0.47811262857416,-0.0754578200254081,-0.572038676266173
"Oidiodendron",-0.0289279961829637,-0.273790669247414,-0.421796757408422,0.141615763728695,-0.457119879657322
"Lactifluus",-0.0305921526341256,-0.392920350938036,-0.452777276268802,-0.20172084675174,-0.378710466192861
"Craterellus",-0.00134548819455645,-0.43689533229937,-0.44426102844181,-0.139039327404161,-0.446338585305959
"Chloridium",-0.0696467178603299,-0.419488984706504,-0.429498238928504,0.00668814634930535,-0.510553794681206
"Aspergillus",0.0551296083927471,-0.401184373763089,-0.486881065972339,-0.0154233242989258,-0.522507729814292
"Tolypocladium",0.0581746606225328,-0.374515932955671,-0.40602520961037,0.0222349984172157,-0.529053515670478
"Wickerhamomyces",-0.101212579056306,-0.277663182358671,-0.448412456767496,-0.149786243305815,-0.292582626090491
"Acremonium",0.0704922031132975,0.0974541758207774,0.118323316449759,-0.131361447993516,-0.0336120587760422
"Sarcodon",0.0266619108026581,-0.338565437525911,-0.437354914030855,-0.137204057693533,-0.327744347440961
"Lactarius",-0.0205719863105113,-0.49129446645915,-0.531891857915583,-0.163463962026863,-0.549474523644957
"Chaetomium",0.102027102209279,-0.353159137522168,-0.496725778604884,-0.059992052551175,-0.454714146314704
"Fusarium",0.0310905787777213,-0.320568331288004,-0.321337025135279,0.0276373444638852,-0.365134526375097
"Umbelopsis",0.102992711154388,-0.327829068042362,-0.420665584396034,-0.049746832446694,-0.451496903891036
"Talaromyces",0.0939540243225142,-0.317346461045159,-0.50876336107222,0.0141174593125179,-0.58600535303953
"Verticillium",-0.0578559923659273,-0.354554525165688,-0.480634524286026,0.113204376862253,-0.567225598430743
"Candida",-0.0196660834339685,-0.373412637913944,-0.466237602338924,-0.115154321199412,-0.477953727941275
"Arthrobotrys",0.0681088712991472,-0.432019905139548,-0.449029544868834,-0.151856235662304,-0.440578309137906
"Sebacina",0.105017243092096,-0.4205733743129,-0.458472508888029,-0.010151898473097,-0.553705267084789
"Sporothrix",-0.0234439228262903,-0.424014571920165,-0.428719690795419,-0.0927679400438293,-0.427371079770833
"Castanediella",-0.014685423962624,-0.243591190240574,-0.529884023380086,-0.0386468829578786,-0.499374320617876
"Geomyces",0.0907769877858404,-0.294353494328239,-0.493820599211107,-0.00550585729810874,-0.471563238483367
"Archaeorhizomyces",-0.154952997471954,-0.373383582448956,-0.345618385777462,0.0517142435936872,-0.455151775420719
"Glutinomyces",-0.0456165464559115,-0.298431465998905,-0.453822656447801,-0.0145240769749411,-0.417603246328445
"Inocybe",-0.181877069555794,-0.47876728947506,-0.468206684436348,-0.257680558893459,-0.41677574080109
"Amanita",0.0371458053961613,-0.410382562354434,-0.454902487282465,-0.105722549176823,-0.472641837369361
"Sarocladium",-0.0912989210258635,-0.341309945587893,-0.317044908924217,0.102406547816973,-0.209667458708401
"Meyerozyma",-0.0180610281592267,-0.38855690736935,-0.447462595452749,-0.14132284930193,-0.442845644959554
"Metapochonia",-0.0644954785965512,-0.335494315690676,-0.466962174917426,-0.0170646282284332,-0.549754559714278
"Nigrospora",-0.156488848357104,-0.186215947114506,-0.408413496929228,-0.0886095390152286,-0.458021002607203
"Penicillifer",-0.0992117066432815,-0.258285926967284,-0.379107260972651,0.0198914513754558,-0.468823308692654
"Chaetosphaeria",-0.0476796452780351,-0.327198962780932,-0.438859926979666,0.0128540037022711,-0.390892371578422
"Xylogone",0.0326292289302898,-0.396095743452164,-0.51814635252129,0.00598410590735046,-0.50787398145965
"Clitocybula",-0.0136814057038206,-0.409202357660259,-0.352351505332599,-0.0667327248555598,-0.473464254218735
"Mollisia",-0.012936581673583,-0.318102600642054,-0.446754841522813,-0.0596292323157223,-0.506946085943867
"Rhizopus",-0.150627942062294,-0.0917357198312551,-0.00273712272324452,0.0884102241457357,-0.031514918598223
"Scleroderma",-0.00118844353929626,-0.472578501928523,-0.480823635839629,-0.0995964275858225,-0.582454359247108
"Microascus",-0.106953684493745,-0.202635569951927,-0.00866530585500763,0.0545794982169349,-0.0582343520004868
"Lauriomyces",-0.0937760677042749,-0.219953580691636,-0.440178631458098,-0.106165062553946,-0.302996829154232
"Laccaria",0.00540350388434748,-0.379783389612253,-0.405352796202673,-0.0646954067708995,-0.51031383561923
"Tomentella",0.115899825914104,-0.396818528460296,-0.431325213737569,-0.0768230271829714,-0.462693213239556
"Clonostachys",-0.036465498850588,-0.0732843511536575,-0.333260242282906,0.00504786167174297,-0.176848044570355
"Psilocybe",-0.00158846866958033,-0.416610220885619,-0.41135261386581,-0.111578034671465,-0.415823979999756
"Cladophialophora",0.0852493453611313,-0.337919127655841,-0.458491941415458,-0.136729290779438,-0.414648450991517
"Colletotrichum",-0.012193050011192,-0.299832886112315,-0.411226202406096,0.0387789839860236,-0.582774702380349
"Leohumicola",-0.000624103892308352,-0.322712515875818,-0.2056694013995,0.0347840327169049,-0.325173348299917
"Gibberella",0.137090615753492,-0.0554790758670036,-0.408918218521409,0.0343901825867117,-0.218120794311098
"Metarhizium",0.0991545299676617,0.0155128245226792,-0.289257940221359,0.240938011736125,-0.260617535137861
"Alternaria",0.00158846866958033,-0.416340065111574,-0.258346127820411,-0.1939745300706,-0.392864965786933
"Gliocladiopsis",-0.0980273813229486,-0.227719723718692,-0.387784651758371,0.0280379244734899,-0.307978907061755
"Thermoascus",-0.211333570667914,-0.130861832785589,0.122840200346317,-0.13817027131048,-0.175494185856972
"Lecanicillium",-0.0685833991842627,-0.268322451309545,-0.310789533031582,-0.0650689212343109,-0.27751585198768
