SampleID	Env	SourceSink	id
F01	Surface1	Sink	1
F02	Surface2	Sink	2
F03	Surface3	Sink	3
F04	Surface4	Sink	4
F05	Surface5	Sink	5
F06	Surface6	Sink	6
F07	Surface7	Sink	7
F08	Surface8	Sink	8
F09	Surface9	Sink	9
F10	Surface10	Sink	10
F11	Surface11	Sink	11
F12	Surface12	Sink	12
F13	Surface13	Sink	13
F14	Surface14	Sink	14
F15	Surface15	Sink	15
F16	Surface16	Sink	16
F17	Surface17	Sink	17
F18	Surface18	Sink	18
F19	Surface19	Sink	19
F20	Surface20	Sink	20
F21	Surface21	Sink	21
F22	Surface22	Sink	22
F23	Surface23	Sink	23
F24	Surface24	Sink	24
F25	Surface25	Sink	25
F26	Surface26	Sink	26
F27	Surface27	Sink	27
F28	Surface28	Sink	28
F29	Surface29	Sink	29
F30	Surface30	Sink	30
F31	Surface31	Sink	31
F32	Surface32	Sink	32
F33	Surface33	Sink	33
F34	Surface34	Sink	34
F35	Surface35	Sink	35
F36	Surface36	Sink	36
F37	Surface37	Sink	37
F38	Surface38	Sink	38
F39	Surface39	Sink	39
F40	Surface40	Sink	40
F41	Surface41	Sink	41
F42	Surface42	Sink	42
F43	Surface43	Sink	43
F44	Surface44	Sink	44
F45	Surface45	Sink	45
F46	Surface46	Sink	46
F47	Surface47	Sink	47
F48	Surface48	Sink	48
F49	Surface49	Sink	49
F50	Surface50	Sink	50
F51	Surface51	Sink	51
F52	Surface52	Sink	52
F53	Surface53	Sink	53
F54	Surface54	Sink	54
F55	Surface55	Sink	55
F56	Surface56	Sink	56
F57	Surface57	Sink	57
F58	Surface58	Sink	58
F59	Surface59	Sink	59
F60	Surface60	Sink	60
F61	Surface61	Sink	61
F62	Surface62	Sink	62
F63	Surface63	Sink	63
F64	Surface64	Sink	64
F65	Surface65	Sink	65
F66	Surface66	Sink	66
F67	Surface67	Sink	67
F68	Surface68	Sink	68
F69	Surface69	Sink	69
F70	Surface70	Sink	70
FL1	Plant	Source	NA
FL2	Plant	Source	NA
FL3	Plant	Source	NA
FL4	Plant	Source	NA
FL5	Plant	Source	NA
FL6	Plant	Source	NA
FR1	Plant	Source	NA
FR2	Plant	Source	NA
FR3	Plant	Source	NA
FR4	Plant	Source	NA
FR5	Plant	Source	NA
FR6	Plant	Source	NA
GL1	Plant	Source	NA
GL2	Plant	Source	NA
GL3	Plant	Source	NA
GL4	Plant	Source	NA
GL5	Plant	Source	NA
GL6	Plant	Source	NA
GR1	Plant	Source	NA
GR2	Plant	Source	NA
GR3	Plant	Source	NA
GR4	Plant	Source	NA
GR5	Plant	Source	NA
GR6	Plant	Source	NA
HL1	Plant	Source	NA
HL2	Plant	Source	NA
HL3	Plant	Source	NA
HL4	Plant	Source	NA
HL5	Plant	Source	NA
HL6	Plant	Source	NA
HR1	Plant	Source	NA
HR2	Plant	Source	NA
HR3	Plant	Source	NA
HR4	Plant	Source	NA
HR5	Plant	Source	NA
HR6	Plant	Source	NA
LB1	Plant	Source	NA
LB2	Plant	Source	NA
LB3	Plant	Source	NA
LB4	Plant	Source	NA
LB5	Plant	Source	NA
LB6	Plant	Source	NA
LY1	Plant	Source	NA
LY2	Plant	Source	NA
LY3	Plant	Source	NA
LY4	Plant	Source	NA
LY5	Plant	Source	NA
LY6	Plant	Source	NA
RB1	Plant	Source	NA
RB2	Plant	Source	NA
RB3	Plant	Source	NA
RB4	Plant	Source	NA
RB5	Plant	Source	NA
RB6	Plant	Source	NA
RY1	Plant	Source	NA
RY2	Plant	Source	NA
RY3	Plant	Source	NA
RY4	Plant	Source	NA
RY5	Plant	Source	NA
RY6	Plant	Source	NA
SL1	Plant	Source	NA
SL2	Plant	Source	NA
SL3	Plant	Source	NA
SL4	Plant	Source	NA
SL5	Plant	Source	NA
SL6	Plant	Source	NA
SR1	Plant	Source	NA
SR2	Plant	Source	NA
SR3	Plant	Source	NA
SR4	Plant	Source	NA
SR5	Plant	Source	NA
SR6	Plant	Source	NA
SRR5246553	Indoor_air	Source	NA
SRR5246554	Indoor_air	Source	NA
SRR5246555	Indoor_air	Source	NA
SRR5246556	Indoor_air	Source	NA
SRR5246565	Indoor_air	Source	NA
SRR5246566	Indoor_air	Source	NA
SRR5246567	Indoor_air	Source	NA
SRR5246568	Indoor_air	Source	NA
SRR5246577	Indoor_air	Source	NA
SRR5246578	Indoor_air	Source	NA
SRR5246579	Indoor_air	Source	NA
SRR5246580	Indoor_air	Source	NA
SRR5246589	Indoor_air	Source	NA
SRR5246590	Indoor_air	Source	NA
SRR5246591	Indoor_air	Source	NA
SRR5246592	Indoor_air	Source	NA
SRR5246601	Indoor_air	Source	NA
SRR5246602	Indoor_air	Source	NA
SRR5246603	Indoor_air	Source	NA
SRR5246604	Indoor_air	Source	NA
SRR5246613	Indoor_air	Source	NA
SRR5246614	Indoor_air	Source	NA
SRR5246615	Indoor_air	Source	NA
SRR5246616	Indoor_air	Source	NA
SRR5246625	Indoor_air	Source	NA
SRR5246626	Indoor_air	Source	NA
SRR5246627	Indoor_air	Source	NA
SRR5246628	Indoor_air	Source	NA
SRR5246637	Indoor_air	Source	NA
SRR5246638	Indoor_air	Source	NA
SRR5246639	Indoor_air	Source	NA
SRR5246640	Indoor_air	Source	NA
SRR5246649	Indoor_air	Source	NA
SRR5246650	Indoor_air	Source	NA
SRR5246651	Indoor_air	Source	NA
SRR5246652	Indoor_air	Source	NA
SRR5246661	Indoor_air	Source	NA
SRR5246662	Indoor_air	Source	NA
SRR5246663	Indoor_air	Source	NA
SRR5246664	Indoor_air	Source	NA
SRR5246674	Indoor_air	Source	NA
SRR5246675	Indoor_air	Source	NA
SRR5246676	Indoor_air	Source	NA
SRR5246685	Indoor_air	Source	NA
SRR5246686	Indoor_air	Source	NA
SRR5246687	Indoor_air	Source	NA
SRR5246688	Indoor_air	Source	NA
SRR5246697	Indoor_air	Source	NA
SRR5246698	Indoor_air	Source	NA
SRR5246699	Indoor_air	Source	NA
SRR5246700	Indoor_air	Source	NA
SRR5246709	Indoor_air	Source	NA
SRR5246710	Indoor_air	Source	NA
SRR5246711	Indoor_air	Source	NA
SRR5246712	Indoor_air	Source	NA
SRR5246721	Indoor_air	Source	NA
SRR5246722	Indoor_air	Source	NA
SRR5246723	Indoor_air	Source	NA
SRR5246724	Indoor_air	Source	NA
SRR5246733	Indoor_air	Source	NA
SRR5246734	Indoor_air	Source	NA
SRR5246735	Indoor_air	Source	NA
SRR5246736	Indoor_air	Source	NA
SRR5246745	Indoor_air	Source	NA
SRR5246746	Indoor_air	Source	NA
SRR5246747	Indoor_air	Source	NA
SRR5246748	Indoor_air	Source	NA
SRR5246757	Indoor_air	Source	NA
SRR5246758	Indoor_air	Source	NA
SRR5246759	Indoor_air	Source	NA
SRR5246760	Indoor_air	Source	NA
SRR5246769	Indoor_air	Source	NA
SRR5246770	Indoor_air	Source	NA
SRR5246771	Indoor_air	Source	NA
SRR5246772	Indoor_air	Source	NA
SRR2061489	Human_skin	Source	NA
SRR2061490	Human_skin	Source	NA
SRR2061491	Human_skin	Source	NA
SRR2061492	Human_skin	Source	NA
SRR2061493	Human_skin	Source	NA
SRR2061504	Human_skin	Source	NA
SRR2061505	Human_skin	Source	NA
SRR2061506	Human_skin	Source	NA
SRR2061507	Human_skin	Source	NA
SRR2061508	Human_skin	Source	NA
SRR2061509	Human_skin	Source	NA
SRR2061510	Human_skin	Source	NA
SRR2061511	Human_skin	Source	NA
SRR2061512	Human_skin	Source	NA
SRR2061513	Human_skin	Source	NA
SRR2061514	Human_skin	Source	NA
SRR2061515	Human_skin	Source	NA
SRR2061516	Human_skin	Source	NA
SRR2061517	Human_skin	Source	NA
SRR2061518	Human_skin	Source	NA
SRR2061524	Human_skin	Source	NA
SRR2061525	Human_skin	Source	NA
SRR2061526	Human_skin	Source	NA
SRR2061527	Human_skin	Source	NA
SRR2061528	Human_skin	Source	NA
SRR2061534	Human_skin	Source	NA
SRR2061535	Human_skin	Source	NA
SRR2061536	Human_skin	Source	NA
SRR2061537	Human_skin	Source	NA
SRR2061538	Human_skin	Source	NA
SRR2061539	Human_skin	Source	NA
SRR2061540	Human_skin	Source	NA
SRR2061541	Human_skin	Source	NA
SRR2061542	Human_skin	Source	NA
SRR2061543	Human_skin	Source	NA
SRR2061554	Human_skin	Source	NA
SRR2061555	Human_skin	Source	NA
SRR2061556	Human_skin	Source	NA
SRR2061557	Human_skin	Source	NA
SRR2061558	Human_skin	Source	NA
SRR2061564	Human_skin	Source	NA
SRR2061565	Human_skin	Source	NA
SRR2061566	Human_skin	Source	NA
SRR2061567	Human_skin	Source	NA
SRR2061568	Human_skin	Source	NA
SRR2061569	Human_skin	Source	NA
SRR2061570	Human_skin	Source	NA
SRR2061571	Human_skin	Source	NA
SRR2061572	Human_skin	Source	NA
SRR2061573	Human_skin	Source	NA
SRR2061574	Human_skin	Source	NA
SRR2061575	Human_skin	Source	NA
SRR2061576	Human_skin	Source	NA
SRR2061577	Human_skin	Source	NA
SRR2061578	Human_skin	Source	NA
SRR2061604	Human_skin	Source	NA
SRR2061605	Human_skin	Source	NA
SRR2061606	Human_skin	Source	NA
SRR2061607	Human_skin	Source	NA
SRR2061608	Human_skin	Source	NA
SRR2061609	Human_skin	Source	NA
SRR2061610	Human_skin	Source	NA
SRR2061611	Human_skin	Source	NA
SRR2061612	Human_skin	Source	NA
SRR2061613	Human_skin	Source	NA
SRR2061614	Human_skin	Source	NA
SRR2061615	Human_skin	Source	NA
SRR2061616	Human_skin	Source	NA
SRR2061617	Human_skin	Source	NA
SRR2061618	Human_skin	Source	NA
SRR2061624	Human_skin	Source	NA
SRR2061625	Human_skin	Source	NA
SRR2061626	Human_skin	Source	NA
SRR2061627	Human_skin	Source	NA
SRR2061628	Human_skin	Source	NA
SRR2061639	Human_skin	Source	NA
SRR2061640	Human_skin	Source	NA
SRR2061641	Human_skin	Source	NA
SRR2061642	Human_skin	Source	NA
SRR2061643	Human_skin	Source	NA
SRR2061659	Human_skin	Source	NA
SRR2061660	Human_skin	Source	NA
SRR2061661	Human_skin	Source	NA
SRR2061662	Human_skin	Source	NA
SRR2061663	Human_skin	Source	NA
SRR2061664	Human_skin	Source	NA
SRR2061665	Human_skin	Source	NA
SRR2061666	Human_skin	Source	NA
SRR2061667	Human_skin	Source	NA
SRR2061668	Human_skin	Source	NA
SRR2061679	Human_skin	Source	NA
SRR2061680	Human_skin	Source	NA
SRR2061681	Human_skin	Source	NA
SRR2061682	Human_skin	Source	NA
SRR2061683	Human_skin	Source	NA
SRR5098331	Human_gut	Source	NA
SRR5098332	Human_gut	Source	NA
SRR5098333	Human_gut	Source	NA
SRR5098336	Human_gut	Source	NA
SRR5098338	Human_gut	Source	NA
SRR5098339	Human_gut	Source	NA
SRR5098340	Human_gut	Source	NA
SRR5098341	Human_gut	Source	NA
SRR5098343	Human_gut	Source	NA
SRR5098346	Human_gut	Source	NA
SRR5098347	Human_gut	Source	NA
SRR5098348	Human_gut	Source	NA
SRR5098349	Human_gut	Source	NA
SRR5098351	Human_gut	Source	NA
SRR5098354	Human_gut	Source	NA
SRR5098355	Human_gut	Source	NA
SRR5098356	Human_gut	Source	NA
SRR5098357	Human_gut	Source	NA
SRR5098359	Human_gut	Source	NA
SRR5098360	Human_gut	Source	NA
SRR5098361	Human_gut	Source	NA
SRR5098363	Human_gut	Source	NA
SRR5098364	Human_gut	Source	NA
SRR5098366	Human_gut	Source	NA
SRR5098367	Human_gut	Source	NA
SRR5098368	Human_gut	Source	NA
SRR5098369	Human_gut	Source	NA
SRR5098370	Human_gut	Source	NA
SRR5098371	Human_gut	Source	NA
SRR5098372	Human_gut	Source	NA
SRR5098373	Human_gut	Source	NA
SRR5098374	Human_gut	Source	NA
SRR5098375	Human_gut	Source	NA
SRR5098376	Human_gut	Source	NA
SRR5098377	Human_gut	Source	NA
SRR5098378	Human_gut	Source	NA
SRR5098379	Human_gut	Source	NA
SRR5098380	Human_gut	Source	NA
SRR5098383	Human_gut	Source	NA
SRR5098384	Human_gut	Source	NA
SRR5098385	Human_gut	Source	NA
SRR5098386	Human_gut	Source	NA
SRR5098388	Human_gut	Source	NA
SRR5098389	Human_gut	Source	NA
SRR5098390	Human_gut	Source	NA
SRR5098392	Human_gut	Source	NA
SRR5098393	Human_gut	Source	NA
SRR5098394	Human_gut	Source	NA
SRR5098395	Human_gut	Source	NA
SRR5098396	Human_gut	Source	NA
SRR5098397	Human_gut	Source	NA
SRR5098398	Human_gut	Source	NA
SRR5098400	Human_gut	Source	NA
SRR5098401	Human_gut	Source	NA
SRR5098402	Human_gut	Source	NA
SRR5098403	Human_gut	Source	NA
SRR5098404	Human_gut	Source	NA
SRR5098406	Human_gut	Source	NA
SRR5098407	Human_gut	Source	NA
SRR5098408	Human_gut	Source	NA
SRR5098409	Human_gut	Source	NA
SRR5098410	Human_gut	Source	NA
SRR5098411	Human_gut	Source	NA
SRR5098413	Human_gut	Source	NA
SRR5098415	Human_gut	Source	NA
SRR5098416	Human_gut	Source	NA
SRR5098417	Human_gut	Source	NA
SRR5098419	Human_gut	Source	NA
