#OTU ID	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	FL1	FL2	FL3	FL4	FL5	FL6	FR1	FR2	FR3	FR4	FR5	FR6	GL1	GL2	GL3	GL4	GL5	GL6	GR1	GR2	GR3	GR4	GR5	GR6	HL1	HL2	HL3	HL4	HL5	HL6	HR1	HR2	HR3	HR4	HR5	HR6	LB1	LB2	LB3	LB4	LB5	LB6	LY1	LY2	LY3	LY4	LY5	LY6	RB1	RB2	RB3	RB4	RB5	RB6	RY1	RY2	RY3	RY4	RY5	RY6	SL1	SL2	SL3	SL4	SL5	SL6	SR1	SR2	SR3	SR4	SR5	SR6	SRR2061489	SRR2061490	SRR2061491	SRR2061492	SRR2061493	SRR2061508	SRR2061509	SRR2061510	SRR2061511	SRR2061512	SRR2061513	SRR2061518	SRR2061528	SRR2061538	SRR2061539	SRR2061540	SRR2061541	SRR2061542	SRR2061543	SRR2061558	SRR2061564	SRR2061565	SRR2061566	SRR2061567	SRR2061568	SRR2061569	SRR2061570	SRR2061571	SRR2061572	SRR2061573	SRR2061574	SRR2061575	SRR2061576	SRR2061577	SRR2061578	SRR2061604	SRR2061605	SRR2061606	SRR2061607	SRR2061608	SRR2061609	SRR2061610	SRR2061611	SRR2061612	SRR2061613	SRR2061614	SRR2061615	SRR2061616	SRR2061617	SRR2061618	SRR2061624	SRR2061625	SRR2061626	SRR2061627	SRR2061628	SRR2061639	SRR2061640	SRR2061641	SRR2061642	SRR2061643	SRR2061659	SRR2061660	SRR2061661	SRR2061662	SRR2061663	SRR2061664	SRR2061665	SRR2061666	SRR2061667	SRR2061668	SRR2061679	SRR2061680	SRR2061681	SRR2061682	SRR5246553	SRR5246554	SRR5246555	SRR5246556	SRR5246565	SRR5246566	SRR5246567	SRR5246568	SRR5246577	SRR5246578	SRR5246579	SRR5246580	SRR5246589	SRR5246590	SRR5246591	SRR5246592	SRR5246601	SRR5246602	SRR5246603	SRR5246604	SRR5246613	SRR5246614	SRR5246615	SRR5246616	SRR5246625	SRR5246626	SRR5246627	SRR5246628	SRR5246637	SRR5246638	SRR5246639	SRR5246640	SRR5246649	SRR5246650	SRR5246651	SRR5246652	SRR5246661	SRR5246662	SRR5246663	SRR5246664	SRR5246673	SRR5246674	SRR5246675	SRR5246676	SRR5246685	SRR5246686	SRR5246687	SRR5246688	SRR5246697	SRR5246698	SRR5246699	SRR5246700	SRR5246709	SRR5246710	SRR5246711	SRR5246712	SRR5246721	SRR5246722	SRR5246723	SRR5246724	SRR5246733	SRR5246734	SRR5246735	SRR5246736	SRR5246745	SRR5246746	SRR5246747	SRR5246748	SRR5246757	SRR5246758	SRR5246759	SRR5246760	SRR5246769	SRR5246770	SRR5246771	SRR5098332	SRR5098333	SRR5098339	SRR5098340	SRR5098341	SRR5098343	SRR5098346	SRR5098347	SRR5098348	SRR5098349	SRR5098351	SRR5098354	SRR5098355	SRR5098356	SRR5098357	SRR5098359	SRR5098360	SRR5098361	SRR5098363	SRR5098364	SRR5098366	SRR5098367	SRR5098368	SRR5098369	SRR5098370	SRR5098371	SRR5098372	SRR5098373	SRR5098374	SRR5098375	SRR5098376	SRR5098377	SRR5098378	SRR5098379	SRR5098380	SRR5098382	SRR5098383	SRR5098384	SRR5098385	SRR5098386	SRR5098388	SRR5098389	SRR5098390	SRR5098392	SRR5098393	SRR5098394	SRR5098395	SRR5098396	SRR5098397	SRR5098398	SRR5098400	SRR5098401	SRR5098402	SRR5098403	SRR5098404	SRR5098406	SRR5098407	SRR5098408	SRR5098409	SRR5098410	SRR5098411	SRR5098413	SRR5098415	SRR5098416	SRR5098417
k__Fungi	107	139	178	2	99	70	135	21	523	30	1076	854	565	865	1193	985	1083	1158	1268	1334	1260	1353	1000	1012	1565	1089	1042	1207	1428	1341	285	44	197	98	4	152	119	420	29	34	1356	571	1135	1126	853	1351	1534	1055	1540	1400	495	453	501	801	824	420	724	2671	283	382	648	412	460	213	329	391	296	395	788	289	2602	1767	921	3289	2072	2299	5280	3769	3145	2553	1698	1630	3237	2442	1312	1688	1889	2682	4166	1902	925	1598	1291	991	2662	2603	1623	1026	1149	1181	1384	1568	4024	2251	2178	2556	31	0	0	438	26	151	0	59	0	164	16	755	89	28796	5178	1168	1372	708	1758	7325	7520	756	2469	1792	3840	940	871	718	1551	1664	2289	2081	1970	1008	986	786	3	218	12	0	73	504	0	0	123	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	44	0	0	32	79	0	0	0	0	15	0	23	0	56	0	0	43	0	102	0	0	9	0	6	0	0	0	0	16	14	0	0	0	0	0	0	0	20	0	111	0	65	0	140	7	0	21	22	0	327	285	121	292	49	37	0	93	0	190	16	786	24	184	2	0	13	133	106	0	250	274	0	491	0	161	2	3	0	38	3	120	0	0	0	133	0	153	289	0	12	173	69	442	60	314	928	64	6	134	690	2	151	429	286	91	60	197	189	6	67	241	0	163	12	70	0	154	0	71	171	509	116	0	0	0	2	0	21	0	0	0	0	646	0	56	4	0	0	0	96	0	23	677	0	0	0	3	1743	5	0	40	0	0	0	4	0	0	19	0	10	305	0	0	0	0	0	0	0	0	8	0	24	0	48	0	0	0	198	119	0	0	63	0	0	0	14	20	0
k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__GS16;f__unidentified;g__unidentified;s__unidentified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	78	121	96	0	0	0	0	0	0	0	58	0	0	60	82	27	0	0	0	0	0	0	0	102	0	0	0	41	56	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	35	8	89	132	0	0	0	0	0	30	83	593	2690	132	0	6	31	180	0	0	0	0	66	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota	47	43	42	0	42	8	27	6	77	6	253	239	145	173	266	294	326	257	337	368	337	369	217	332	349	206	309	307	311	352	58	10	57	29	15	34	17	56	4	0	326	129	166	229	177	276	299	229	350	263	118	105	94	210	217	102	192	263	37	92	175	93	105	60	73	74	37	79	182	57	373	603	851	415	73	776	292	104	151	54	381	113	722	372	193	366	513	470	139	60	202	56	244	188	319	415	432	892	630	299	15	22	570	88	7	93	2	0	0	115	12	50	0	6	0	13	0	94	28	151	217	196	45	95	424	0	76	62	303	49	721	167	290	323	573	235	188	345	199	79	83	120	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__unidentified	10	25	21	0	3	16	29	0	65	0	52	26	96	95	74	103	85	61	82	60	100	101	108	161	59	108	112	88	29	39	41	18	25	17	0	0	14	26	17	9	25	26	46	18	93	102	45	24	90	28	30	38	29	43	14	61	100	1437	58	13	77	35	37	19	15	17	20	22	46	35	2153	1054	2375	381	3975	3153	748	1004	460	346	1355	497	4716	692	1572	1985	1819	3185	323	345	610	817	1110	568	3698	4028	3042	4700	2297	1608	240	65	2736	578	240	562	79	0	10	497	55	181	0	46	0	52	2	215	157	1380	808	1275	919	940	1639	43	486	341	1687	397	5318	1788	492	612	2310	2481	2059	2347	2602	502	365	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__GS31;f__unidentified;g__unidentified;s__unidentified	24	15	25	0	11	8	22	9	37	0	91	87	78	74	62	97	105	81	81	80	88	87	85	97	80	66	102	90	99	81	18	0	15	14	0	15	10	21	7	5	58	70	57	54	95	105	118	50	143	55	47	24	49	55	45	33	68	0	21	19	64	41	27	26	12	25	29	44	62	31	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	2	3	0	0	3	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	50	0	0	0	0	0	75	36	20	0	0	0	119	0	0	86	75	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	40	0	104	0	0	0	0	0	196	0	0	0	0	0	0	56	111	0	13	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria;s__Botryosphaeria_dothidea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	30	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	8	11	0	2	6	3	0	0	3	2	8	0	0	5	4	0	0	0	0	0	0	2	0	0	0	0	7	0	0	4	0	0	11	0	0	0	2	0	5	0	2	237	0	0	0	0	2	4	0	0	0	0	2	0	11	0	78	140	0	0	0	0	0	18	0	0	97	0	0	0	66	69	13	0	0	0	0	0	122	0	0	0	52	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	64	0	0	0	66	0	0	0	45	29	131	0	0	0	52	0	0	0	174	210	73	26	195	0	63	0	0	0	0	95	97	96	0	0	53	0	0	70	172	328	0	0	0	259	208	0	107	166	93	0	0	7	366	0	0	0	238	0	153	0	0	0	0	0	137	0	176	0	0	83	60	0	44	0	10	70	209	0	33	0	0	0	0	0	0	206	0	176	25	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Antennariella;s__Antennariella_placitae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Leptoxyphium;s__Leptoxyphium_glochidion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
