# Constructed from biom file
#OTU ID	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
4bae0ab2637d7709616476c5311975b4	13523.0	57441.0	539.0	2053.0	2709.0	61285.0	57402.0	9251.0	47.0	9355.0	8.0	0.0	0.0	5.0	8.0	0.0	6.0	14.0	263.0	11.0	8.0	7.0	0.0	0.0	11.0	0.0	14.0	0.0	0.0	0.0	44631.0	23128.0	43387.0	14736.0	13773.0	59909.0	53991.0	45543.0	9641.0	7885.0	3.0	0.0	12.0	11.0	0.0	15.0	8.0	9.0	15.0	32.0	0.0	0.0	0.0	9.0	0.0	11.0	10.0	498.0	0.0	17.0	14.0	14.0	17.0	57.0	0.0	22.0	717.0	0.0	7.0	99.0
11f304220847ab61f699bfc65d15b63e	282.0	17.0	45354.0	42559.0	56634.0	1197.0	795.0	52235.0	97.0	47419.0	38.0	26.0	17.0	29.0	24.0	32.0	31.0	44.0	1430.0	23.0	20.0	33.0	30.0	33.0	25.0	29.0	34.0	39.0	25.0	40.0	106.0	34987.0	62.0	38597.0	14549.0	34.0	3735.0	90.0	50272.0	16203.0	24.0	25.0	34.0	21.0	41.0	35.0	23.0	24.0	55.0	23.0	12.0	17.0	13.0	20.0	26.0	23.0	29.0	129.0	14.0	0.0	31.0	19.0	37.0	14.0	14.0	44.0	824.0	17.0	17.0	155.0
714292a42b82f1c935580bd2de56b428	788.0	973.0	1533.0	131.0	406.0	732.0	894.0	184.0	4442.0	392.0	4834.0	3683.0	5197.0	6061.0	7561.0	7491.0	6078.0	7021.0	5055.0	3924.0	5879.0	6113.0	7463.0	5513.0	5337.0	6214.0	6578.0	4458.0	3998.0	3637.0	2588.0	700.0	2243.0	852.0	258.0	808.0	1168.0	2079.0	376.0	331.0	3894.0	2729.0	2702.0	3209.0	4306.0	4790.0	3764.0	3516.0	5364.0	4084.0	2509.0	2053.0	3703.0	4015.0	3573.0	3284.0	7019.0	0.0	2850.0	2415.0	3757.0	2423.0	2213.0	1349.0	2298.0	2336.0	2045.0	2453.0	3579.0	1937.0
d3da00b39a10f693c1e67bd021bc1af9	881.0	894.0	1294.0	95.0	503.0	659.0	957.0	164.0	3168.0	422.0	5676.0	3273.0	3429.0	3591.0	5895.0	5303.0	5865.0	5914.0	5847.0	4606.0	6062.0	5576.0	5600.0	5336.0	5800.0	5814.0	5411.0	6374.0	5105.0	4437.0	1961.0	671.0	1619.0	798.0	256.0	1007.0	960.0	2478.0	406.0	394.0	4163.0	3237.0	3011.0	3844.0	4238.0	6085.0	4783.0	3475.0	5486.0	4801.0	2238.0	2161.0	3116.0	3884.0	3411.0	2415.0	4623.0	660.0	2010.0	2377.0	3024.0	2232.0	2577.0	1744.0	2134.0	2488.0	1942.0	2562.0	3803.0	2218.0
c8d6c7a082251354c647eb4d3d6a335f	832.0	770.0	1639.0	90.0	528.0	542.0	738.0	243.0	3540.0	547.0	5088.0	2934.0	4278.0	4371.0	6420.0	5695.0	6100.0	6111.0	5240.0	4229.0	5417.0	5412.0	6229.0	5777.0	5474.0	6125.0	5399.0	5420.0	4047.0	3536.0	2261.0	811.0	2072.0	1061.0	360.0	836.0	964.0	1954.0	356.0	395.0	3617.0	3327.0	2559.0	2964.0	4687.0	5557.0	4111.0	3499.0	5114.0	4213.0	2281.0	2011.0	3613.0	3978.0	3004.0	2918.0	5304.0	0.0	2156.0	2424.0	3629.0	2539.0	2690.0	1573.0	2181.0	2394.0	2158.0	2731.0	3534.0	2083.0
c0a253d69ebb46e732e33b3b4b310d56	551.0	779.0	1210.0	88.0	305.0	644.0	819.0	131.0	3792.0	243.0	3415.0	2885.0	3972.0	4828.0	5694.0	6382.0	5103.0	5500.0	3854.0	3154.0	4397.0	5216.0	6712.0	4922.0	4878.0	5056.0	5191.0	3726.0	3101.0	3071.0	2058.0	490.0	1871.0	770.0	209.0	764.0	921.0	1607.0	311.0	277.0	3144.0	2485.0	2265.0	2544.0	3745.0	3426.0	2973.0	3081.0	4057.0	3118.0	1894.0	1657.0	3640.0	3251.0	2723.0	3014.0	5725.0	0.0	2307.0	2085.0	3241.0	1663.0	1838.0	966.0	1744.0	1848.0	1753.0	2034.0	2838.0	1393.0
ba1a7e6193c94d80769cc2e5cd94c2a2	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	1280.0	208.0	2731.0	1473.0	1357.0	1503.0	2428.0	2268.0	0.0	2576.0	2485.0	2468.0	2473.0	2168.0	2101.0	0.0	2835.0	0.0	2228.0	0.0	2564.0	2220.0	809.0	262.0	0.0	0.0	0.0	349.0	416.0	1392.0	194.0	175.0	2052.0	1375.0	1732.0	1839.0	1911.0	2758.0	0.0	1884.0	2725.0	2402.0	1090.0	0.0	1328.0	0.0	1925.0	0.0	1919.0	0.0	793.0	1110.0	0.0	1051.0	0.0	0.0	920.0	1088.0	0.0	1201.0	1860.0	0.0
30a0b12209d1402a88bc485adacd09d0	0.0	0.0	729.0	0.0	0.0	0.0	0.0	0.0	0.0	734.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	27585.0	0.0	0.0	0.0	0.0	32849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0
8195a1f70c2870317c4f91b532478d33	0.0	0.0	3.0	0.0	13.0	28.0	0.0	0.0	0.0	108.0	40.0	6.0	13.0	136.0	5.0	9.0	6.0	11.0	1160.0	8.0	6.0	0.0	0.0	21.0	150.0	16.0	0.0	0.0	10.0	25.0	9.0	30.0	32.0	0.0	16.0	82.0	43.0	143.0	8.0	6.0	0.0	0.0	6.0	10.0	10.0	12.0	8.0	7.0	20.0	890.0	3.0	11.0	0.0	13.0	0.0	6.0	30.0	301.0	8.0	218.0	228.0	4942.0	1209.0	10863.0	92.0	2750.0	15513.0	226.0	9.0	14042.0
48dc62e7b0cab09b73dccbe62ec64ac0	192.0	244.0	347.0	39.0	108.0	206.0	261.0	46.0	1111.0	80.0	846.0	859.0	1269.0	1594.0	1761.0	2028.0	1381.0	1595.0	1160.0	785.0	1410.0	1543.0	2015.0	1619.0	1357.0	1489.0	1744.0	943.0	849.0	825.0	685.0	159.0	517.0	238.0	67.0	242.0	323.0	425.0	70.0	85.0	743.0	736.0	552.0	611.0	1043.0	948.0	721.0	764.0	945.0	739.0	475.0	476.0	966.0	811.0	614.0	946.0	1683.0	145.0	718.0	517.0	981.0	507.0	587.0	259.0	535.0	422.0	460.0	493.0	758.0	365.0
