names,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70
Plant,1.79E-08,3.77E-08,0.044203211,6.41E-09,0,1.79E-07,3.93E-08,3.88E-09,1.54E-06,2.05E-07,8.43E-06,1.99E-06,6.59E-06,1.47E-06,1.19E-06,0.078005987,0.003329037,4.25E-06,0.031374293,1.55E-07,0.037632911,0.083127712,0.018964709,6.22E-07,3.30E-07,0.076679538,2.12E-05,2.23E-06,0.058426592,5.09E-08,2.26E-07,0,7.27E-08,3.36E-08,1.51E-07,8.87E-08,0.01022434,3.31E-08,4.29E-06,2.01E-07,0.027805845,3.30E-06,7.52E-06,0.079871314,2.11E-06,2.58E-07,1.04E-06,0.011968487,0.071333657,2.66E-06,4.35E-08,0.054764158,3.25E-06,4.34E-07,0.063890688,0.011975466,1.73E-06,0.221550746,0.001328188,5.93E-07,3.38E-07,0.01786696,1.19E-05,0.061380048,0.029455737,1.13E-06,2.43E-07,0.018511558,0.090314191,0.017525218
Plant,6.49E-08,3.35E-05,0.013586597,2.13E-10,1.60E-07,0.000880876,1.15E-06,4.00E-08,0.02119137,4.07E-09,1.94E-16,0.000774053,4.90E-11,1.03E-17,3.73E-12,9.90E-135,1.07E-24,4.77E-16,1.42E-79,0.000168627,0.110125613,1.14E-12,3.36E-07,1.33E-13,5.84E-05,7.54E-12,0.30301451,0.080125084,8.17E-37,0.025306854,8.58E-06,0,0.005452618,3.61E-10,7.19E-08,0.007455014,4.27E-14,0.003242601,0,3.27E-19,4.23E-125,0.032503622,0.028142493,1.89E-09,7.39E-06,0.08163258,0.004107598,0.072370938,0.000264024,0.041761233,0.00866986,0.012166942,6.71E-20,0.129985447,0.003191383,7.48E-07,4.16E-21,0.005187019,4.59E-15,2.32E-11,2.96E-08,0.001457977,2.51E-06,0.227748627,0.019476376,2.05E-05,0.002639375,0.030829654,0.042452371,6.66E-61
Plant,0.011837205,2.62E-09,2.63E-12,0.000196656,2.06E-05,6.81E-09,1.13E-06,4.07E-09,6.64E-08,8.71E-11,2.22E-62,0.056414705,0.025487434,2.83E-14,1.64E-16,1.45E-53,1.80E-10,1.16E-05,5.54E-72,0.087652855,3.59E-29,5.61E-10,3.53E-08,0.262738965,1.91E-13,5.22E-21,0.000272163,0.009668129,1.27E-29,1.54E-06,1.50E-05,1.56E-06,0.002807927,1.76E-05,1.19E-16,1.92E-05,9.76E-46,1.92E-07,1.90E-29,7.09E-08,0.012653784,0.071739035,0.018989641,0.055992156,1.93E-09,8.43E-05,0.000213648,9.56E-06,9.90E-05,1.23E-07,0.000223426,9.44E-12,0.092619006,1.53E-06,4.69E-08,4.76E-09,0.24257597,0.063761949,0.084859291,8.40E-10,2.19E-05,0.001415651,0.094182012,1.42E-49,0.114028441,0.160179072,0.003664065,3.34E-08,2.20E-131,0.081266694
Plant,2.87E-06,2.27E-12,1.76E-67,3.05E-09,1.50E-05,3.49E-08,1.10E-07,1.05E-06,9.79E-14,1.67E-13,0.020861357,0.021739887,5.06E-39,9.29E-42,7.53E-11,0.015333295,1.77E-51,3.80E-14,2.92E-73,6.53E-06,4.74E-74,7.16E-52,6.56E-30,0.012671767,4.56E-09,0.019037006,1.41E-57,1.57E-06,1.36E-40,5.86E-09,3.00E-12,1.35E-05,4.03E-06,1.25E-13,5.99E-15,4.95E-11,2.82E-73,2.02E-10,0,0,7.41E-232,1.31E-29,1.00E-34,1.41E-45,6.94E-23,0.030616686,4.15E-17,0.011330079,2.58E-57,0.001348639,1.30E-07,7.44E-26,5.83E-28,0.026272842,4.28E-05,0.012457625,1.63E-52,9.41E-09,0.021380385,2.00E-06,2.67E-13,7.70E-17,3.82E-29,1.09E-226,8.06E-23,1.42E-18,1.39E-05,1.24E-70,1.76E-114,1.85E-68
Plant,1.97E-09,5.99E-05,5.18E-19,4.28E-09,0.000405257,0.027827101,2.08E-05,1.49E-09,6.28E-07,0.00167077,6.63E-32,0.000424925,2.08E-11,0.052286477,0.181148361,1.72E-160,1.03E-65,0.041906295,1.16E-69,0.00528186,2.92E-07,8.87E-24,2.06E-13,7.71E-07,5.72E-06,4.39E-07,0.01933789,3.38E-09,4.65E-52,0.000115117,5.92E-06,0.005218252,6.45E-07,0.001293143,0.000227335,0.049963912,2.31E-22,3.65E-06,1.03E-34,1.65E-05,6.54E-112,3.37E-11,0.000960129,1.19E-39,8.91E-12,0.003908993,3.81E-05,2.90E-07,3.31E-16,2.14E-10,8.25E-06,0.006621041,1.02E-20,0.031152176,1.48E-35,5.27E-41,8.59E-11,1.18E-13,8.24E-71,1.22E-09,2.24E-05,1.54E-06,9.95E-69,4.81E-54,1.48E-09,0.001386197,1.44E-05,0.06644969,4.37E-10,1.81E-34
Plant,0.045674226,6.23E-10,3.60E-51,0.004680643,0.006365223,1.52E-10,1.36E-07,2.49E-05,0.019056837,2.53E-07,1.71E-32,0.088406971,3.58E-12,4.86E-13,4.26E-05,1.14E-60,0.031898511,6.35E-19,3.19E-40,0.000142242,8.41E-33,4.89E-21,0.113047696,0.000148323,2.07E-06,4.98E-31,4.04E-20,5.53E-14,0.072238398,0.003944713,2.15E-06,0.001087565,3.96E-06,1.67E-06,1.23E-11,0.001303917,2.07E-16,0.012795769,6.17E-48,9.45E-11,0.014885835,3.71E-05,0.011329443,0.05681636,3.19E-05,0.006819893,0.036613557,0.001179632,2.92E-17,5.21E-07,0.000518402,4.11E-10,5.16E-08,0.006685521,6.12E-64,8.49E-07,1.30E-08,3.92E-10,1.58E-63,0.034249095,2.91E-07,0.000330023,2.82E-19,2.62E-24,6.49E-12,0.009935238,0.061990102,0.000970923,4.99E-11,1.75E-14
Plant,2.04E-05,0.000520934,1.13E-31,8.87E-06,0.000333136,4.63E-08,7.16E-05,0.009048589,2.21E-10,3.98E-09,6.20E-58,1.33E-07,1.03E-30,5.98E-23,4.91E-11,2.40E-131,9.60E-42,7.63E-25,2.27E-50,9.67E-09,2.95E-33,3.85E-28,5.15E-33,3.46E-06,3.11E-13,4.30E-40,4.84E-43,5.93E-17,8.59E-53,3.33E-06,1.60E-05,0.001307596,4.21E-06,0.000156931,7.84E-07,0.005766516,7.11E-28,7.36E-05,1.92E-32,0.003400089,0,1.32E-18,2.03E-08,2.45E-23,1.49E-08,1.62E-08,0.022963107,7.86E-08,4.77E-29,2.76E-13,0.00055848,0.000512864,4.22E-30,7.36E-08,6.93E-51,7.02E-45,5.77E-20,2.85E-10,2.31E-146,4.82E-08,1.89E-15,2.67E-05,2.10E-27,1.47E-94,7.56E-05,5.92E-08,1.77E-05,3.69E-30,1.86E-48,2.89E-59
Plant,0.000169498,0.005146809,8.46E-42,0.000147691,0.001247446,3.43E-08,0.001284617,2.26E-05,1.68E-11,1.27E-05,4.58E-64,1.30E-09,6.67E-25,8.03E-06,8.19E-11,2.91E-44,1.65E-49,0.024422993,8.24E-52,0.057639882,0.016630889,0.047728896,2.85E-20,2.15E-06,2.47E-07,0.015605849,5.78E-30,0.094416692,2.10E-62,1.27E-05,8.00E-06,0.001057818,4.05E-06,2.13E-08,1.09E-06,2.37E-05,6.74E-37,0.001564179,1.59E-20,4.10E-08,4.83E-242,1.65E-14,7.17E-13,2.91E-18,1.30E-10,4.19E-09,0.066436633,1.96E-10,3.35E-28,0.065338957,2.16E-06,3.04E-15,5.31E-28,1.45E-05,0.019235433,7.33E-27,8.86E-17,6.06E-10,0.014418643,2.90E-06,1.09E-14,2.72E-08,8.10E-42,2.09E-132,1.06E-07,3.98E-09,8.20E-05,4.66E-28,0.016198771,1.55E-64
Plant,1.44E-05,5.98E-11,9.32E-29,2.81E-07,0.000454005,2.19E-08,1.86E-06,1.04E-06,1.65E-16,3.11E-06,1.08E-47,3.22E-11,4.59E-36,5.18E-34,8.28E-17,4.16E-176,1.95E-67,5.23E-15,5.63E-44,1.71E-09,1.74E-35,4.51E-36,1.03E-28,7.66E-10,5.38E-12,4.33E-51,2.49E-56,1.68E-26,1.13E-81,1.34E-08,3.04E-06,0.002722633,3.73E-12,3.39E-09,1.12E-11,6.99E-09,3.73E-26,2.49E-06,8.54E-36,1.31E-08,9.96E-282,2.98E-15,1.01E-23,1.26E-32,6.90E-11,4.25E-07,8.41E-07,3.09E-11,1.76E-39,6.05E-13,8.84E-07,1.43E-06,5.65E-30,3.52E-11,5.11E-65,4.47E-51,2.90E-21,4.15E-13,2.47E-191,4.58E-06,1.14E-17,1.72E-08,8.66E-56,4.00E-115,6.81E-26,3.62E-10,7.36E-06,1.26E-37,2.17E-77,9.31E-60
Plant,0.012117139,1.50E-05,1.97E-53,0.000363796,1.47E-05,1.57E-06,0.001769546,5.55E-05,2.09E-09,4.09E-07,5.82E-41,2.00E-11,2.47E-19,6.41E-22,1.12E-07,2.16E-76,5.76E-23,1.10E-18,8.68E-47,1.12E-06,1.34E-26,1.22E-25,3.61E-18,1.53E-10,1.68E-09,9.34E-51,0.033258641,8.77E-12,7.73E-50,8.55E-07,0.000169445,0.002697072,2.45E-07,5.67E-06,6.37E-09,2.53E-07,1.22E-06,0.001288658,1.16E-26,3.23E-11,1.03E-223,1.48E-18,2.81E-11,2.44E-28,0.000138283,2.57E-07,2.66E-07,5.77E-08,1.78E-25,2.50E-10,4.33E-06,1.95E-10,2.87E-12,4.72E-05,5.62E-43,2.16E-50,9.85E-10,1.61E-15,2.44E-88,4.00E-07,1.42E-12,9.40E-05,1.15E-27,1.36E-39,1.24E-19,2.80E-05,0.010378708,3.43E-15,7.97E-97,1.24E-31
