SampleID	env	group	site1	site2	time1	time2	time3
F1	Sink	G1	I	IC	201707	A	D58
F2	Sink	G1	C	IC	201707	A	D58
F3	Sink	G1	C	IC	201707	A	D58
F4	Sink	G1	P1	P	201707	A	D58
F5	Sink	G1	P1	P	201707	A	D58
F6	Sink	G1	P2	P	201707	A	D58
F7	Sink	G1	P2	P	201707	A	D58
F8	Sink	G1	S	SST	201707	A	D58
F9	Sink	G1	S	SST	201707	A	D58
F10	Sink	G1	ST	SST	201707	A	D58
F11	Sink	G2	I	IC	201708	B	D90
F12	Sink	G2	C	IC	201708	B	D90
F13	Sink	G2	C	IC	201708	B	D90
F14	Sink	G2	P1	P	201708	B	D90
F15	Sink	G2	P1	P	201708	B	D90
F16	Sink	G2	P2	P	201708	B	D90
F17	Sink	G2	P2	P	201708	B	D90
F18	Sink	G2	S	SST	201708	B	D90
F19	Sink	G2	S	SST	201708	B	D90
F20	Sink	G2	ST	SST	201708	B	D90
F21	Sink	G2	I	IC	201709	C	D123
F22	Sink	G2	C	IC	201709	C	D123
F23	Sink	G2	C	IC	201709	C	D123
F24	Sink	G2	P1	P	201709	C	D123
F25	Sink	G2	P1	P	201709	C	D123
F26	Sink	G2	P2	P	201709	C	D123
F27	Sink	G2	P2	P	201709	C	D123
F28	Sink	G2	S	SST	201709	C	D123
F29	Sink	G2	S	SST	201709	C	D123
F30	Sink	G2	ST	SST	201709	C	D123
F31	Sink	G2	I	IC	201710	D	D156
F32	Sink	G2	C	IC	201710	D	D156
F33	Sink	G2	C	IC	201710	D	D156
F34	Sink	G2	P1	P	201710	D	D156
F35	Sink	G2	P1	P	201710	D	D156
F36	Sink	G2	P2	P	201710	D	D156
F37	Sink	G2	P2	P	201710	D	D156
F38	Sink	G2	S	SST	201710	D	D156
F39	Sink	G2	S	SST	201710	D	D156
F40	Sink	G2	ST	SST	201710	D	D156
F41	Sink	G2	I	IC	201712	E	D216
F42	Sink	G2	C	IC	201712	E	D216
F43	Sink	G2	C	IC	201712	E	D216
F44	Sink	G2	P1	P	201712	E	D216
F45	Sink	G2	P1	P	201712	E	D216
F46	Sink	G2	P2	P	201712	E	D216
F47	Sink	G2	P2	P	201712	E	D216
F48	Sink	G2	S	SST	201712	E	D216
F49	Sink	G2	S	SST	201712	E	D216
F50	Sink	G2	ST	SST	201712	E	D216
F51	Sink	G1	I	IC	201803	F	D316
F52	Sink	G1	C	IC	201803	F	D316
F53	Sink	G1	C	IC	201803	F	D316
F54	Sink	G1	P1	P	201803	F	D316
F55	Sink	G1	P1	P	201803	F	D316
F56	Sink	G1	P2	P	201803	F	D316
F57	Sink	G1	P2	P	201803	F	D316
F58	Sink	G1	S	SST	201803	F	D316
F59	Sink	G1	S	SST	201803	F	D316
F60	Sink	G1	ST	SST	201803	F	D316
F61	Sink	G1	I	IC	201804	G	D330
F62	Sink	G1	C	IC	201804	G	D330
F63	Sink	G1	C	IC	201804	G	D330
F64	Sink	G1	P1	P	201804	G	D330
F65	Sink	G1	P1	P	201804	G	D330
F66	Sink	G1	P2	P	201804	G	D330
F67	Sink	G1	P2	P	201804	G	D330
F68	Sink	G1	S	SST	201804	G	D330
F69	Sink	G1	S	SST	201804	G	D330
F70	Sink	G1	ST	SST	201804	G	D330
